column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9
分　组,营业收入
利润率,每百元营业
收入中的
成本,每百元营业
收入中的
费用,每百元资产实现的
营业收入,人均营业
收入,资产负债率,产成品
存货
周转天数,应收账款
平均回收期
1-11月,1-11月,1-11月,11月末,11月末,11月末,11月末,11月末,
(%),(元),(元),(元),(万元/人),(%),(天),(天),
总计,5.40,85.34,8.40,77.7,183.4,57.9,19.8,66.7
其中：采矿业,20.20,66.23,9.61,41.5,144.3,56.4,13.7,51.8
制造业,4.54,85.88,8.66,90.0,176.5,57.4,22.1,68.3
电力、热力、燃气及水生产和供应业,6.48,89.27,5.33,41.4,364.0,60.5,1.0,58.2
其中：国有控股企业,6.10,84.03,6.34,57.6,303.7,57.6,12.1,53.1
其中：股份制企业,5.09,85.55,8.31,76.1,181.7,58.8,20.0,64.4
外商及港澳台投资企业,6.64,84.51,8.77,84.7,194.1,53.4,18.9,76.4
其中：私营企业,4.30,86.25,9.47,99.3,140.1,59.2,24.1,67.8
