column_1,column_2,column_3,column_4,column_5,column_6,column_7
行　业,营业收入,营业成本,利润总额,,,
金额,同比增长,金额,同比增长,金额,同比增长,
(亿元),(%),(亿元),(%),(亿元),(%),
总计,1234796.4,1.8,1053776.8,2.3,66674.8,-4.7
煤炭开采和洗选业,28739.9,-10.7,19138.5,-7.3,5640.5,-22.4
石油和天然气开采业,10964.3,1.5,5807.5,4.7,3398.3,-4.4
黑色金属矿采选业,4558.2,5.2,3637.9,7.1,512.6,4.3
有色金属矿采选业,3368.6,8.1,2049.3,3.9,872.8,19.8
非金属矿采选业,3369.0,0.1,2423.4,1.2,365.3,-2.7
开采专业及辅助性活动,2418.7,8.4,2318.9,11.2,5.8,-74.2
其他采矿业,16.0,-4.2,12.3,0.8,1.0,（注1）
农副食品加工业,47319.5,-4.0,43747.4,-4.3,1139.9,0.5
食品制造业,19654.8,4.2,15350.3,3.7,1551.7,5.1
酒、饮料和精制茶制造业,14250.2,2.7,9105.9,1.5,2975.3,9.3
烟草制品业,13201.7,2.6,3795.1,1.7,1754.4,2.1
纺织业,21540.8,4.0,19144.7,3.8,691.8,4.6
纺织服装、服饰业,11378.2,2.6,9625.6,2.6,549.5,3.9
皮革、毛皮、羽毛及其制品和制鞋业,7752.2,3.7,6685.9,3.4,410.6,4.7
木材加工和木、竹、藤、棕、草制品业,8065.0,-1.1,7261.2,-0.9,294.7,-11.9
家具制造业,6016.8,0.8,4971.4,1.0,313.9,2.0
造纸和纸制品业,13154.6,3.9,11608.9,3.7,412.7,12.6
印刷和记录媒介复制业,6006.0,1.9,4996.8,1.6,296.6,-5.4
文教、工美、体育和娱乐用品制造业,12199.1,3.7,10563.3,3.7,574.5,7.0
石油、煤炭及其他燃料加工业,53036.3,-3.2,46419.3,-1.3,-419.9,-182.1
化学原料和化学制品制造业,83125.0,3.9,72325.6,4.7,3804.7,-9.3
医药制造业,22633.7,0.0,13221.5,2.2,3050.7,-2.7
化学纤维制造业,10544.6,5.8,9751.6,5.3,265.8,33.6
橡胶和塑料制品业,27242.8,4.4,23014.9,5.0,1495.7,-0.9
非金属矿物制品业,45758.6,-11.9,39210.8,-10.3,1539.1,-48.2
黑色金属冶炼和压延加工业,73919.0,-6.8,70918.8,-6.4,78.6,-83.7
有色金属冶炼和压延加工业,77716.8,15.5,72536.4,14.9,3013.1,20.2
金属制品业,41872.3,2.1,36870.4,2.3,1572.5,-3.5
通用设备制造业,43626.5,2.0,35458.6,2.2,2995.0,-0.1
专用设备制造业,33569.8,2.1,26108.6,2.2,2481.5,-0.9
汽车制造业,94561.0,3.1,82949.9,4.0,4132.0,-7.3
铁路、船舶、航空航天和其他运输设备制造业,13463.4,11.1,11214.0,10.6,983.9,29.5
电气机械和器材制造业,97731.0,-1.1,83296.4,-1.2,5495.3,-3.1
计算机、通信和其他电子设备制造业,144508.5,7.2,126540.4,7.3,5653.4,2.9
仪器仪表制造业,9296.7,3.6,6871.2,3.7,942.2,0.2
其他制造业,1948.5,8.1,1596.4,7.3,115.7,18.8
废弃资源综合利用业,10653.6,3.5,10135.2,3.0,172.5,5.5
金属制品、机械和设备修理业,2122.2,17.9,1780.4,18.2,187.4,30.0
电力、热力生产和供应业,91059.1,4.0,81413.4,3.5,6103.3,13.5
燃气生产和供应业,18128.6,5.7,16758.6,6.2,783.6,-4.0
水的生产和供应业,4304.8,0.3,3140.2,-0.7,466.8,7.0
注：
1.其他采矿业上年同期为亏损，无法计算同比增速。
2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,,,,,,
