BI,Model,MAE,MSE,RMSE,MAPE,R2
Without BIdata,LSTM,26.505,1225.715,35.010,1.254,0.989
CNN-LSTM,39.061,4382.585,66.201,1.794,0.957,
CNN-QRLSTM,31.751,1504.485,38.788,1.543,0.986,
EEMD-CNN-LSTM,27.079,1271.598,35.660,1.123,0.988,
EEMD-CNN-QRLSTM,21.770,1043.686,32.306,0.874,0.990,
With BI,LSTM,20.670,743.864,27.274,0.974,0.993
CNN-LSTM,26.761,1240.784,35.225,1.262,0.987,
CNN-QRLSTM,32.300,965.040,31.065,1.201,0.991,
EEMD-CNN-LSTM,20.174,1210.872,34.780,0.844,0.989,
EEMD-CNN-QRLSTM,13.200,281.660,16.783,0.542,0.998,
XGBoost,312.880,"106,787.051",326.783,18.244,−11.169,
ARIMA-GRACH,224.997,"60,157.020",245.269,13.573,−5.855,
