BI,Model,MAE,MSE,RMSE,MAPE,R2
Without BIdata,LSTM,26.505,1225.715,35.010,1.254,0.989
CNN-LSTM,39.061,4382.585,66.201,1.794,0.957,
CNN-QRLSTM,32.951,2009.762,44.830,1.506,0.986,
EEMD-CNN-LSTM,30.894,2105.213,45.883,1.362,0.985,
EEMD-CNN-QRLSTM,21.083,1137.877,33.732,0.894,0.992,
With BI,LSTM,28.172,1469.841,38.339,1.300,0.992
CNN-LSTM,34.111,2504.921,50.049,1.513,0.985,
CNN-QRLSTM,24.611,965.040,31.065,1.201,0.991,
EEMD-CNN-LSTM,23.875,1223.978,34.985,1.056,0.992,
EEMD-CNN-QRLSTM,21.590,1054.347,32.470,0.952,0.993,
XGBoost,289.457,"91,267.845",302.105,16.894,−9.765,
ARIMA-GRACH,198.765,"45,892.768",241.338,11.987,−4.987,
