column_1,column_2,column_3
Signature,,Title
* Wayne W. Murdy,,Chairman of the Board and Chief Executive Officer(Principal Executive Officer)
* Richard T. O’Brien,,Senior Vice President and Chief Financial Officer(Principal Financial Officer)
* Russell Ball,,Vice President and Controller(Principal Accounting Officer)
Glen A. Barton*,,Director
Vincent A. Calarco*,,Director
Noreen Doyle*,,Director
Veronica M. Hagen*,,Director
Michael S. Hamson*,,Director
"Leo I. Higdon, Jr.*",,Director
Pierre Lassonde*,,Director
Robert J. Miller*,,Director
Robin A. Plumbridge*,,Director
John B. Prescott*,,Director
Donald C. Roth*,,Director
Seymour Schulich*,,Director
James V. Taranik*,,Director
