column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24
,,Nevada,,,Yanacocha,,,Australia/NewZealand,,,BatuHijau,,OtherOperations,,,TotalOperations,,,,,,,
"Sales, net:",,,,,,,,,,,,,,,,,,,,,,,
Gold,,$,901,,,$,"1,037",,,$,732,,,$,—,,$,365,,,$,"3,035",
Copper,,$,—,,,$,—,,,$,—,,,$,—,,$,—,,,$,—,
Cost applicable to sales:,,,,,,,,,,,,,,,,,,,,,,,
Gold,,$,598,,,$,362,,,$,484,,,$,—,,$,190,,,$,"1,634",
Copper,,$,—,,,$,—,,,$,—,,,$,—,,$,—,,,$,—,
"Depreciation, depletion and amortization:",,,,,,,,,,,,,,,,,,,,,,,
Gold,,$,138,,,$,160,,,$,122,,,$,—,,$,68,,,$,488,
Copper,,$,—,,,$,—,,,$,—,,,$,—,,$,—,,,$,—,
Other,,$,—,,,$,—,,,$,5,,,$,—,,$,3,,,$,8,
Exploration,,$,17,,,$,13,,,$,13,,,$,—,,$,1,,,$,44,
"Advanced projects, research and development",,$,—,,,$,—,,,$,—,,,$,—,,$,16,,,$,16,
Write-down of long-lived assets,,$,—,,,$,—,,,$,2,,,$,—,,$,28,,,$,30,
Other income,,$,2,,,$,—,,,$,16,,,$,—,,$,—,,,$,18,
"Interest expense, net",,$,—,,,$,3,,,$,—,,,$,—,,$,1,,,$,4,
Pre-tax income (loss) before minority interest and equity income of affiliates,,$,150,,,$,476,,,$,60,,,$,—,,$,47,,,$,733,
Equity income (loss) of affiliates,,$,—,,,$,—,,,$,1,,,$,—,,$,—,,,$,1,
"Cumulative effect of a change in accounting principle, net of tax",,$,(14,),,$,(33,),,$,(3,),,$,—,,$,(9,),,$,(59,)
"Amortization of deferred (advanced) stripping, net",,$,(25,),,$,—,,,$,(11,),,$,—,,$,(1,),,$,(37,)
Capital expenditures,,$,112,,,$,206,,,$,101,,,$,—,,$,39,,,$,458,
Deferred stripping,,$,62,,,$,—,,,$,19,,,$,—,,$,9,,,$,90,
Goodwill,,$,41,,,$,—,,,$,247,,,$,—,,$,—,,,$,288,
Total assets from continuing operations,,$,"1,491",,,$,"1,204",,,$,"1,327",,,$,—,,$,606,,,$,"4,628",
