column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25
,,Australia/New Zealand,,,"Batu Hijau, Indonesia(1)",,,,,,,,,,,,,,,,,,,
"Year Ended December 31,",,2005,,,2004,,,2003,,,2005,,,2004,,,2003,,,,,,,
Tons mined (000 dry short tons):,,,,,,,,,,,,,,,,,,,,,,,,
Open pit,,,"60,691",,,,"64,083",,,,"73,468",,,,"225,838",,,,"235,455",,,,"231,073",
Underground,,,"4,023",,,,"4,806",,,,"6,744",,,,N/A,,,,N/A,,,,N/A,
Tons milled/processed (000 dry short tons):,,,,,,,,,,,,,,,,,,,,,,,,
Oxide,,,"8,579",,,,"9,560",,,,"11,018",,,,N/A,,,,N/A,,,,N/A,
Refractory,,,"7,314",,,,"7,142",,,,"8,071",,,,"50,210",,,,"54,243",,,,"49,819",
Average ore grade: (oz/ton),,,,,,,,,,,,,,,,,,,,,,,,
Oxide,,,0.147,,,,0.150,,,,0.151,,,,N/A,,,,N/A,,,,N/A,
Refractory,,,0.067,,,,0.072,,,,0.078,,,,0.018,,,,0.016,,,,0.015,
Average mill recovery rate:,,,,,,,,,,,,,,,,,,,,,,,,
Oxide,,,94.0,%,,,94.4,%,,,94.9,%,,,N/A,,,,N/A,,,,N/A,
Refractory,,,85.6,%,,,86.7,%,,,85.1,%,,,80.7,%,,,80.9,%,,,80.9,%
Ounces produced (000):,,,,,,,,,,,,,,,,,,,,,,,,
Oxide,,,"1,185.6",,,,"1,365.5",,,,"1,671.1",,,,N/A,,,,N/A,,,,N/A,
Refractory,,,409.4,,,,453.2,,,,421.2,,,,731.8,,,,718.8,,,,600.8,
,,,"1,595.0",,,,"1,818.7",,,,"2,092.3",,,,731.8,,,,718.8,,,,600.8,
Ounces sold (000),,,"1,600.5",,,,"1,887.6",,,,"2,016.7",,,,720.5,,,,715.2,,,,N/A,
Production costs per ounce:,,,,,,,,,,,,,,,,,,,,,,,,
Direct mining and production costs,,$,311,,,$,259,,,$,225,,,$,146,,,$,110,,,$,N/A,
Deferred stripping and other costs,,,(10,),,,4,,,,(2,),,,(5,),,,9,,,,N/A,
Royalties and production taxes,,,13,,,,14,,,,14,,,,9,,,,8,,,,N/A,
Reclamation/accretion expense,,,3,,,,3,,,,2,,,,2,,,,1,,,,N/A,
Total costs applicable to sales,,,317,,,,280,,,,239,,,,152,,,,128,,,,N/A,
"Depreciation, depletion and amortization",,,74,,,,67,,,,61,,,,47,,,,39,,,,N/A,
Total production costs,,$,391,,,$,347,,,$,300,,,$,199,,,$,167,,,$,N/A,
