column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13
,,"Years Ended December 31,",,,,,,,,,,
,,2005,,,2004,,,2003,,,,
"Pre-tax income before minority interest, equity income and impairment of affiliates and cumulative effect of change in accounting
principle",,$,"1,064",,,$,"1,111",,,$,931,
United States statutory corporate income tax rate,,,35,%,,,35,%,,,35,%
Income tax expense computed at United States statutory corporate income tax rate,,,(372,),,,(389,),,,(326,)
Reconciling items:,,,,,,,,,,,,
Percentage depletion and Canadian Resource Allowance,,,47,,,,47,,,,21,
Change in valuation allowance on deferred tax assets,,,(22,),,,58,,,,85,
"Effect of foreign earnings, net of allowable credits",,,(10,),,,(11,),,,28,
U.S. tax effect of minority interest attributable to non-U.S. investees,,,15,,,,7,,,,22,
Rate differential for foreign earnings indefinitely reinvested,,,(8,),,,(61,),,,11,
Resolution of tax issues associated with prior years,,,12,,,,—,,,,—,
Foreign currency translation of monetary assets,,,14,,,,13,,,,(54,)
Tax effect of changes in tax laws,,,24,,,,51,,,,36,
Tax effect of impairment of goodwill,,,(14,),,,(17,),,,—,
Non-U.S. tax effect attributable to the extinguishment of debt,,,—,,,,—,,,,(36,)
Non-U.S. tax effect attributable to capital gains,,,—,,,,(9,),,,—,
Other,,,—,,,,(14,),,,1,
Income tax expense,,$,(314,),,$,(325,),,$,(212,)
