column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20
,,TotalOperations,,,Exploration,,,MerchantBanking,,Corporateand Other,,,Consolidated,,,,,,
"Sales, net:",,,,,,,,,,,,,,,,,,,
Gold,,$,"3,787",,,$,—,,,$,—,,$,(53,),,$,"3,734",
Copper,,$,672,,,$,—,,,$,—,,$,—,,,$,672,
Cost applicable to sales:,,,,,,,,,,,,,,,,,,,
Gold,,$,"2,017",,,$,—,,,$,—,,$,—,,,$,"2,017",
Copper,,$,303,,,$,—,,,$,—,,$,—,,,$,303,
"Depreciation, depletion and amortization:",,,,,,,,,,,,,,,,,,,
Gold,,$,510,,,$,—,,,$,—,,$,—,,,$,510,
Copper,,$,87,,,$,—,,,$,—,,$,—,,,$,87,
Other,,$,6,,,$,—,,,$,21,,$,20,,,$,47,
Exploration,,$,56,,,$,91,,,$,—,,$,—,,,$,147,
"Advanced projects, research and development",,$,37,,,$,—,,,$,16,,$,20,,,$,73,
Write-down of goodwill,,$,41,,,$,—,,,$,—,,$,—,,,$,41,
Write-down of long-lived assets,,$,40,,,$,—,,,$,—,,$,3,,,$,43,
Other income,,$,37,,,$,—,,,$,174,,$,58,,,$,269,
"Interest expense, net",,$,45,,,$,—,,,$,—,,$,53,,,$,98,
Pre-tax income (loss) before minority interest and equity income of affiliates,,$,"1,306",,,$,(91,),,$,136,,$,(287,),,$,"1,064",
Equity income of affiliates,,$,—,,,$,—,,,$,4,,$,—,,,$,4,
"Amortization of deferred (advanced) stripping, net",,$,(56,),,$,—,,,$,—,,$,—,,,$,(56,)
Capital expenditures,,$,"1,173",,,$,—,,,$,4,,$,49,,,$,"1,226",
Deferred stripping,,$,71,,,$,—,,,$,—,,$,—,,,$,71,
Goodwill,,$,191,,,$,"1,126",,,$,"1,562",,$,—,,,$,"2,879",
Total assets from continuing operations,,$,"7,852",,,$,"1,131",,,$,"2,675",,$,"2,260",,,$,"13,918",
Assets held for sale,,,,,,,,,,,,,,,,,$,74,
Total assets,,,,,,,,,,,,,,,,,$,"13,992",
