column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18
,,Common Stock,,AdditionalPaid-InCapital,,,AccumulatedOtherComprehensiveIncome (Loss),,,RetainedEarnings(Deficit),,,,,,,
,,Shares,,Amount,,,,,,,,,,,,,
,,(in millions),,,,,,,,,,,,,,,
"Balance at December 31, 2002",,402,,$,565,,$,"5,038",,,$,(64,),,$,(120,)
Shares issued under retirement savings plans,,—,,,—,,,8,,,,—,,,,—,
Shares issued under stock compensation plans,,4,,,7,,,116,,,,—,,,,—,
Shares issued for the exercise of Class B warrants,,6,,,9,,,165,,,,—,,,,—,
Common shares issued for acquisitions,,5,,,8,,,127,,,,—,,,,—,
Shares issued in exchange for exchangeable shares,,—,,,9,,,(9,),,,—,,,,—,
Equity offering,,25,,,40,,,987,,,,—,,,,—,
Net income,,—,,,—,,,—,,,,—,,,,476,
Common stock dividends,,—,,,—,,,(16,),,,—,,,,(55,)
Dilution of AMC ownership,,—,,,—,,,7,,,,—,,,,—,
Unrealized loss on marketable equity securities,,—,,,—,,,—,,,,(5,),,,—,
Foreign currency translation adjustments,,—,,,—,,,—,,,,23,,,,—,
Minimum pension liability adjustments,,—,,,—,,,—,,,,—,,,,—,
Change in fair value of cash flow hedge instruments,,—,,,—,,,—,,,,69,,,,—,
"Balance at December 31, 2003",,442,,$,638,,$,"6,423",,,$,23,,,$,301,
Shares issued under retirement savings plans,,—,,,—,,,8,,,,—,,,,—,
Shares issued under stock compensation plans,,4,,,6,,,105,,,,—,,,,—,
Net income,,—,,,—,,,—,,,,—,,,,443,
Common stock dividends,,—,,,—,,,—,,,,—,,,,(133,)
Shares issued in exchange for exchangeable shares,,—,,,12,,,(12,),,,—,,,,—,
Unrealized gain on marketable equity securities,,—,,,—,,,—,,,,123,,,,—,
Foreign currency translation adjustments,,—,,,—,,,—,,,,31,,,,—,
Minimum pension liability adjustments,,—,,,—,,,—,,,,(11,),,,—,
Changes in fair value of cash flow hedge instruments,,—,,,—,,,—,,,,(19,),,,—,
"Balance at December 31, 2004",,446,,$,656,,$,"6,524",,,$,147,,,$,611,
Shares issued under retirement savings plans,,—,,,—,,,9,,,,—,,,,—,
Shares issued under stock compensation plans,,2,,,3,,,52,,,,—,,,,—,
Net income,,—,,,—,,,—,,,,—,,,,322,
Common stock dividends,,—,,,—,,,—,,,,—,,,,(179,)
Shares issued in exchange for exchangeable shares,,—,,,7,,,(7,),,,—,,,,—,
Unrealized gain on marketable equity securities,,—,,,—,,,—,,,,282,,,,—,
Foreign currency translation adjustments,,—,,,—,,,—,,,,26,,,,—,
Minimum pension liability adjustments,,—,,,—,,,—,,,,(18,),,,—,
Changes in fair value of cash flow hedge instruments,,—,,,—,,,—,,,,(59,),,,—,
"Balance at December 31, 2005",,448,,$,666,,$,"6,578",,,$,378,,,$,754,
