column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10
,,"Years Ended December 31,",,,,,,,
,,2005,,2004,,2003,,,
Gold,,,,,,,,,
"Nevada, USA",,$,807,,$,716,,$,598
"Yanacocha, Peru",,,487,,,432,,,362
Australia/New Zealand:,,,,,,,,,
"Tanami, Australia",,,162,,,194,,,149
"Kalgoorlie, Australia",,,144,,,141,,,108
"Jundee, Australia",,,115,,,106,,,159
"Pajingo, Australia",,,58,,,59,,,43
"Martha, New Zealand",,,29,,,28,,,25
,,,508,,,528,,,484
"Batu Hijau, Indonesia",,,109,,,91,,,—
Other Operations:,,,,,,,,,
"Golden Giant, Canada",,,48,,,48,,,53
"Zarafshan, Uzbekistan",,,27,,,32,,,33
"Kori Kollo, Bolivia",,,16,,,10,,,36
"La Herradura, Mexico",,,15,,,10,,,11
"Ovacik, Turkey",,,—,,,23,,,22
"Minahasa, Indonesia",,,—,,,20,,,26
"Mesquite, USA",,,—,,,—,,,9
,,,106,,,143,,,190
,,$,"2,017",,$,"1,910",,$,"1,634"
Copper,,,,,,,,,
"Batu Hijau, Indonesia",,$,303,,$,305,,$,—
