column_1,column_2,column_3
Exhibit Number,,Description
10(g),,"—Form of Award Agreement used for Executive Officers to grant stock options pursuant to Registrant’s 1996 Employees Stock Plan. Incorporated herein by reference to Exhibit 99.2 of
Registrant’s Form 8-K filed with the Securities and Exchange Commission on December 13, 2004."
10(h),,"—Form of Award Agreement used for Executive Officers to grant stock options pursuant to Registrant’s 1999 Employees Stock Plan. Incorporated herein by reference to Exhibit 10.1
of Registrant’s Form 8-K filed with the Securities and Exchange Commission on March 2, 2005."
10(i),,"—Form of Award Agreement used for Executive Officers to grant restricted stock pursuant to Registrant’s 1999 Employees Stock Plan. Incorporated herein by reference to
Exhibit 10.1 of Registrant’s Form 8-K filed with the Securities and Exchange Commission on March 2, 2005."
10(j),,"—Form of Award Agreement used for Executive Officers to grant restricted stock units pursuant to Registrant’s 1999 Employees Stock Plan. Incorporated herein by reference to
Exhibit 10.2 of Registrant’s Form 8-K filed with the Securities and Exchange Commission on March 2, 2005."
10(k),,"—Form of Award Agreement used for Executive Officers to grant stock options pursuant to Registrant’s 2005 Stock Incentive Plan. Incorporated herein by reference to Exhibit 10.2
of Registrant’s Form 8-K filed with the Securities and Exchange Commission on October 26, 2005."
10(l),,"—Form of Award Agreement used for Executive Officers to grant restricted stock pursuant to Registrant’s 2005 Stock Incentive Plan. Incorporated herein by reference to
Exhibit 10.3 of Registrant’s Form 8-K filed with the Securities and Exchange Commission on October 26, 2005."
10(m),,"—Form of Award Agreement used for non-employee directors to grant director stock units pursuant to the 2005 Stock Incentive Plan. Incorporated herein by reference to Exhibit 10.1 of
Registrant’s Form 8-K filed with the Securities and Exchange Commission on June 17, 2005."
10(n),,"—Annual Incentive Compensation Payroll Practice of the Registrant, amended and restated effective January 1, 2005. Incorporated by reference to Exhibit 10.1 to Registrant’s
Form 10-Q for the period March 30, 2005, filed with the Securities and Exchange Commission on April 29, 2005."
10(o),,"—Employee Performance Incentive Compensation Payroll Practice of Registrant, amended and restated effective January 1, 2004. Incorporated herein by reference to Exhibit 10(f) to
Registrant’s Annual Report on Form 10-K for the period December 31, 2004, filed with the Securities and Exchange Commission on March 15, 2005."
10(p),,"—Newmont Mining Corporation Intermediate Term Incentive Compensation Plan (Amended and Restated Generally Effective as of January 1, 2002). Incorporated by reference to
Exhibit 10(l) to Newmont Mining Corporation’s Annual Report on Form 10-K for the year ended December 31, 2002."
10(q),,"—Amended and Restated Officers’ Death Benefit Plan effective January 1, 2004 of Newmont USA Limited, a wholly owned subsidiary of Registrant. Incorporated herein by reference to
Exhibit 10.1 to Registrant’s Form 8-K filed with the Securities and Exchange Commission on December 22, 2004."
10(r),,"—Amended and Restated Executive Change of Control Plan effective January 1, 2004 of Newmont USA Limited, a wholly owned subsidiary of Registrant. Incorporated herein by reference to
Exhibit 10.2 of Registrant’s Form 8-K filed with the Securities and Exchange Commission on December 22, 2004."
10(s),,"—Newmont Mining Corporation 2000 Non-Employee Directors Stock Plan, as Amended and Restated as of May 17, 2000. Incorporated by reference to Exhibit 10 to Newmont Mining
Corporation’s Quarterly Report on Form 10-Q for the quarter ended September 30, 2000."
