column_1,column_2,column_3,column_4,column_5
Name,,Age,,Office
Wayne W. Murdy,,61,,Chairman and Chief Executive Officer
Pierre Lassonde,,58,,President
Britt D. Banks,,44,,Senior Vice President and General Counsel
Thomas L. Enos,,54,,"Senior Vice President, Operations"
Bruce D. Hansen,,48,,"Senior Vice President, Operations Services and Development"
Richard T. O’Brien,,51,,Senior Vice President and Chief Financial Officer
Russell Ball,,37,,Vice President and Controller
Paul J. Dowd,,56,,"Vice President, Australian Operations"
Robert J. Gallagher,,55,,"Vice President, Australian and Indonesian Operations"
David Gutierrez,,51,,"Vice President, Tax"
David Harquail,,49,,"Vice President, Merchant Banking"
Brant Hinze,,50,,"Vice President, North American Operations"
Thomas P. Mahoney,,50,,Vice President and Treasurer
Carlos Santa Cruz,,50,,"Vice President, South American Operations"
William M. Zisch,,48,,"Vice President, African and Central Asian"
