column_1,column_2,column_3
Exhibit Number,,Description
10(t),,"—Agreement dated September 15, 1999, among Newmont Mining Corporation, Newmont Gold Company and Bruce D. Hansen. Incorporated by reference to Exhibit 10(a) to Newmont Mining
Corporation’s Quarterly Report on Form 10-Q for the quarter ended September 30, 1999."
10(u),,"—Amendment to Employment Agreement effective July 28, 2005 between Newmont Mining Corporation and Bruce D. Hansen. Incorporated by reference to Exhibit 10.1 to Registrant’s
Quarterly Report on 10-Q for the period June 30, 2005, filed with the Securities and Exchange Commission on August 1, 2005."
10(v),,"—Agreement dated February 1, 1999, among Newmont Mining Corporation, Newmont Gold Company and certain executive officers. Incorporated by reference to Exhibit 10(b) to Newmont
Mining Corporation’s Quarterly Report on Form 10-Q for the quarter ended March 31, 1999."
10(w),,"—Letter Agreement dated May 6, 1993, between Newmont Gold Company and Wayne W. Murdy. Incorporated by reference to Exhibit 10 to Newmont Gold Company’s Quarterly Report on Form 10-Q
for the quarter ended March 31, 1993."
10(x),,"—Letter Agreement dated March 23, 2001, between Wayne W. Murdy and Newmont Mining Corporation. Incorporated by reference as Exhibit 10(v) to Newmont Mining Corporation’s Annual
Report on Form 10-K for the year ended December 31, 2000."
10(y),,"—Amendment to Employment Agreement effective July 28, 2005 between Newmont Mining Corporation and Wayne W. Murdy. Incorporated by reference to Exhibit 10.2 to Registrant’s
Quarterly Report on 10-Q, for the period June 30, 2005, filed with the Securities and Exchange Commission on August 1, 2005."
10(z),,"—Employment Agreement effective, as of February 16, 2002, between Newmont Global Employment Limited Partnership and Pierre Lassonde. Incorporated by reference to Exhibit 10(a) to
Newmont Mining Corporation’s Quarterly Report on Form 10-Q for period ended June 30, 2002, filed August 14, 2002."
10(aa),,"—Amendment of Employment Agreement effective, as of February 16, 2004, between Newmont Global Employment Limited Partnership and Pierre Lassonde. Incorporated by reference to Exhibit
10(q) to Newmont Mining Corporation’s Annual Report on Form 10-K for the year ended December 31, 2003."
10(bb),,"—Amendment to Employment Agreement effective July 28, 2005 between Newmont Mining Corporation and Pierre Lassonde. Incorporated by reference to Exhibit 10.3 to Registrant’s
Quarterly Report on Form 10-Q for the period June 30, 2005, filed with the Securities and Exchange Commission on August 1, 2005."
10(cc),,"—Consulting Agreement effective as of April 1, 2002, between Newmont Capital Limited and Seymour Schulich. Incorporated by reference as Exhibit 10(x) to Newmont Mining Corporation’s
Annual Report on Form 10-K for the year ended December 31, 2002."
10(dd),,"—Amendment to Consulting Agreement effective as of April 1, 2005 and dated December 7, 2004, between Newmont Capital Limited and Seymour Schulich. Incorporated by reference as
Exhibit 99.1 to Registrant’s Form 8-K filed with the Securities and Exchange Commission on December 13, 2004."
10(ee),,"—Amendment No. 2 to Consulting Agreement effective July 28, 2005, between Newmont Capital Limited and Seymour Schulich. Incorporated by reference to Exhibit 10.5 to
Registrant’s Form 10-Q for the period June 30, 2005, filed with the Securities and Exchange Commission on August 1, 2005."
