column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25
,,Nevada,,,"Yanacocha, Peru",,,,,,,,,,,,,,,,,,,
"Year Ended December 31,",,2005,,,2004,,,2003,,,2005,,,2004,,,2003,,,,,,,
Tons mined (000 dry short tons):,,,,,,,,,,,,,,,,,,,,,,,,
Open pit,,,"193,565",,,,"192,821",,,,"176,254",,,,"218,933",,,,"193,407",,,,"204,889",
Underground,,,"1,727",,,,"1,683",,,,"1,733",,,,N/A,,,,N/A,,,,N/A,
Tons milled/processed (000 dry short tons):,,,,,,,,,,,,,,,,,,,,,,,,
Oxide,,,"5,645",,,,"4,626",,,,"2,914",,,,N/A,,,,N/A,,,,N/A,
Refractory,,,"9,925",,,,"8,984",,,,"9,129",,,,N/A,,,,N/A,,,,N/A,
Leach,,,"21,660",,,,"17,356",,,,"18,376",,,,"146,645",,,,"133,514",,,,"145,275",
Average ore grade (oz/ton):,,,,,,,,,,,,,,,,,,,,,,,,
Oxide,,,0.108,,,,0.125,,,,0.140,,,,N/A,,,,N/A,,,,N/A,
Refractory,,,0.185,,,,0.199,,,,0.219,,,,N/A,,,,N/A,,,,N/A,
Leach,,,0.024,,,,0.029,,,,0.028,,,,0.028,,,,0.025,,,,0.027,
Average mill recovery rate:,,,,,,,,,,,,,,,,,,,,,,,,
Oxide,,,75.1,%,,,79.1,%,,,80.8,%,,,N/A,,,,N/A,,,,N/A,
Refractory,,,89.7,%,,,90.8,%,,,90.6,%,,,N/A,,,,N/A,,,,N/A,
Ounces produced (000):,,,,,,,,,,,,,,,,,,,,,,,,
Oxide,,,405.2,,,,461.2,,,,336.0,,,,N/A,,,,N/A,,,,N/A,
Refractory,,,"1,671.3",,,,"1,666.7",,,,"1,834.2",,,,N/A,,,,N/A,,,,N/A,
Leach,,,357.1,,,,332.5,,,,390.5,,,,"3,333.1",,,,"3,017.3",,,,"2,851.1",
,,,"2,433.6",,,,"2,460.4",,,,"2,560.7",,,,"3,333.1",,,,"3,017.3",,,,"2,851.1",
Ounces sold (000),,,"2,444.1",,,,"2,538.0",,,,"2,490.8",,,,"3,327.5",,,,"3,039.9",,,,"2,858.7",
Production costs per ounce:,,,,,,,,,,,,,,,,,,,,,,,,
Direct mining and production costs,,$,346,,,$,297,,,$,244,,,$,150,,,$,144,,,$,124,
Deferred stripping and other costs,,,(23,),,,(22,),,,(14,),,,(8,),,,(6,),,,(1,)
Royalties and production taxes,,,8,,,,5,,,,7,,,,3,,,,2,,,,2,
Reclamation/accretion expense,,,2,,,,2,,,,3,,,,2,,,,2,,,,2,
Total costs applicable to sales,,,333,,,,282,,,,240,,,,147,,,,142,,,,127,
"Depreciation, depletion and amortization",,,51,,,,50,,,,55,,,,62,,,,65,,,,56,
Total production costs,,$,384,,,$,332,,,$,295,,,$,209,,,$,207,,,$,183,
