column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24
,,Nevada,,,Yanacocha,,Australia/NewZealand,,,BatuHijau,,,OtherOperations,,,TotalOperations,,,,,,,
"Sales, net:",,,,,,,,,,,,,,,,,,,,,,,
Gold,,$,"1,053",,,$,"1,490",,$,718,,,$,318,,,$,208,,,$,"3,787",
Copper,,$,—,,,$,—,,$,—,,,$,672,,,$,—,,,$,672,
Cost applicable to sales:,,,,,,,,,,,,,,,,,,,,,,,
Gold,,$,807,,,$,487,,$,508,,,$,109,,,$,106,,,$,"2,017",
Copper,,$,—,,,$,—,,$,—,,,$,303,,,$,—,,,$,303,
"Depreciation, depletion and amortization:",,,,,,,,,,,,,,,,,,,,,,,
Gold,,$,124,,,$,205,,$,118,,,$,34,,,$,29,,,$,510,
Copper,,$,—,,,$,—,,$,—,,,$,87,,,$,—,,,$,87,
Other,,$,—,,,$,—,,$,3,,,$,—,,,$,3,,,$,6,
Exploration,,$,17,,,$,6,,$,19,,,$,—,,,$,14,,,$,56,
"Advanced projects, research and development",,$,—,,,$,8,,$,—,,,$,2,,,$,27,,,$,37,
Write-down of goodwill,,$,41,,,$,—,,$,—,,,$,—,,,$,—,,,$,41,
Write-down of long-lived assets,,$,—,,,$,—,,$,2,,,$,—,,,$,38,,,$,40,
Other income,,$,8,,,$,9,,$,7,,,$,7,,,$,6,,,$,37,
"Interest expense, net",,$,—,,,$,1,,$,—,,,$,43,,,$,1,,,$,45,
Pre-tax income (loss) before minority interest and equity income of affiliates,,$,44,,,$,793,,$,62,,,$,419,,,$,(12,),,$,"1,306",
Equity income of affiliates,,$,—,,,$,—,,$,—,,,$,—,,,$,—,,,$,—,
"Amortization of deferred (advanced) stripping, net",,$,(47,),,$,—,,$,(7,),,$,1,,,$,(3,),,$,(56,)
Capital expenditures,,$,479,,,$,225,,$,98,,,$,65,,,$,306,,,$,"1,173",
Deferred stripping,,$,149,,,$,—,,$,19,,,$,(107,),,$,10,,,$,71,
Goodwill,,$,—,,,$,—,,$,191,,,$,—,,,$,—,,,$,191,
Total assets,,$,"2,073",,,$,"1,575",,$,"1,060",,,$,"2,251",,,$,893,,,$,"7,852",
