column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10
,,"Years Ended December 31,",,,,,,,
,,2005,,2004,,2003,,,
"Nevada, USA",,$,479,,$,169,,$,112
"Yanacocha, Peru",,,225,,,232,,,206
Australia/New Zealand:,,,,,,,,,
"Pajingo, Australia",,,12,,,11,,,15
"Yandal, Australia",,,25,,,19,,,17
"Tanami, Australia",,,19,,,18,,,40
"Kalgoorlie, Australia",,,12,,,27,,,15
"Martha, New Zealand",,,11,,,7,,,12
"Other, Australia",,,19,,,7,,,2
,,,98,,,89,,,101
"Batu Hijau, Indonesia",,,65,,,35,,,—
"Ghana, West Africa:",,,,,,,,,
"Ahafo, Ghana",,,258,,,83,,,13
"Akyem, Ghana",,,18,,,9,,,8
,,,276,,,92,,,21
Other Operations:,,,,,,,,,
"Kori Kollo, Bolivia",,,22,,,4,,,1
"Zarafshan, Uzbekistan",,,6,,,9,,,8
"La Herradura, Mexico",,,2,,,4,,,3
"Ovacik, Turkey",,,—,,,9,,,6
"Golden Giant, Canada",,,—,,,2,,,—
,,,30,,,28,,,18
Exploration,,,—,,,—,,,1
Merchant Banking,,,4,,,5,,,2
Corporate and Other,,,49,,,33,,,23
,,$,"1,226",,$,683,,$,484
