column_1,column_2,column_3,column_4,column_5
,,"Year EndedDecember 31, 2003",,
Revenues,,,,
Concentrate sales,,,,
Contained copper,,$,"522,718",
Third-party treatment and refining costs,,,"(98,045",)
,,,"424,673",
Costs and expenses,,,,
"Production costs (exclusive of depreciation, depletion and amortization shown separately below)",,,"68,564",
"Depreciation, depletion and amortization",,,"125,917",
Exploration,,,"1,455",
Other,,,33,
,,,"195,969",
Other income (expense),,,,
Interest income and other,,,"2,811",
Interest expense,,,"(49,424",)
,,,"(46,613",)
Pre-tax income before cumulative effect of a change in accounting principle,,,"182,091",
Income tax expense,,,"(67,079",)
Income before cumulative effect of a change in accounting principle,,,"115,012",
"Cumulative effect of a change in accounting principle, net of tax of U.S.$1.4 million",,,"(14,218",)
Net income,,$,"100,794",
Other comprehensive (loss) income,,,"(3,490",)
Comprehensive income,,$,"97,304",
