column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13
,,"At December 31, 2005",,,,,,,,,,
,,Cost/EquityBasis,,Unrealized,,Fair/EquityValue,,,,,,
,,,Gain,,Loss,,,,,,,
Current:,,,,,,,,,,,,
Marketable Debt Securities:,,,,,,,,,,,,
Auction rate securities,,$,785,,$,—,,$,—,,$,785
Marketable Equity Securities:,,,,,,,,,,,,
Other,,,11,,,12,,,—,,,23
"Other investments, at cost",,,9,,,—,,,—,,,9
,,$,805,,$,12,,$,—,,$,817
Long-term:,,,,,,,,,,,,
Marketable Equity Securities:,,,,,,,,,,,,
Canadian Oil Sands Trust,,$,240,,$,410,,$,—,,$,650
"Gabriel Resources, Ltd.",,,53,,,29,,,—,,,82
"Shore Gold, Inc.",,,89,,,22,,,—,,,111
Miramar Mining Corporation,,,27,,,19,,,—,,,46
Other,,,20,,,8,,,—,,,28
,,,429,,,488,,,—,,,917
"Other investments, at cost",,,10,,,—,,,—,,,10
Investment in Affiliates:,,,,,,,,,,,,
European Gold Refineries (Note 20),,,15,,,—,,,—,,,15
AGR Matthey Joint Venture (Note 20),,,13,,,—,,,—,,,13
,,,28,,,—,,,—,,,28
,,$,467,,$,488,,$,—,,$,955
