column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13
,,"At December 31,",,,,,,,,,,
,,2005,,2004,,,,,,,,
,,Current,,Non-Current,,Current,,Non-Current,,,,
Sale-leaseback of refractory ore treatment plant,,$,19,,$,256,,$,13,,$,274
"5 7/8% notes, net of discount",,,—,,,597,,,—,,,—
"8 3/8% debentures, net of discount",,,—,,,—,,,50,,,—
"8 5/8% debentures, net of discount",,,—,,,218,,,—,,,219
"Newmont Australia 7 5/8% guaranteed notes, net of premium",,,—,,,120,,,—,,,120
"Newmont Australia 7 1/2% guaranteed notes, net of premium",,,—,,,—,,,20,,,—
Prepaid forward sales obligation,,,48,,,48,,,48,,,97
PTNNT project financing facility,,,87,,,479,,,87,,,566
PTNNT sponsor loans,,,39,,,—,,,53,,,—
"Project financings, capital leases and other",,,3,,,15,,,15,,,40
,,$,196,,$,"1,733",,$,286,,$,"1,316"
