column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21
,,"For the Year Ended December 31, 2003",,,,,,,,,,,,,,,,,,
Condensed Consolidating Statement of Income,,Newmont Mining Corporation,,,Newmont USA,,,Other Subsidiaries,,,Eliminations,,,Newmont Mining Corporation Consolidated,,,,,,
Revenues,,,,,,,,,,,,,,,,,,,,
"Sales—gold, net",,$,—,,,$,"2,302",,,$,757,,,$,—,,,$,"3,059",
Costs and expenses,,,,,,,,,,,,,,,,,,,,
"Costs applicable to sales (exclusive of depreciation, depletion and amortization shown separately below)",,,,,,,,,,,,,,,,,,,,
Gold,,,—,,,,"1,152",,,,483,,,,(1,),,,"1,634",
"Depreciation, depletion and amortization",,,—,,,,372,,,,158,,,,—,,,,530,
Exploration,,,—,,,,47,,,,29,,,,—,,,,76,
"Advanced projects, research and development",,,—,,,,14,,,,21,,,,—,,,,35,
General and administrative,,,—,,,,102,,,,28,,,,—,,,,130,
Write-down of goodwill,,,—,,,,—,,,,—,,,,—,,,,—,
Write-down of long-lived assets,,,—,,,,31,,,,4,,,,—,,,,35,
Other,,,—,,,,41,,,,9,,,,—,,,,50,
,,,—,,,,"1,759",,,,732,,,,(1,),,,"2,490",
Other income (expense),,,,,,,,,,,,,,,,,,,,
Other income,,,75,,,,90,,,,173,,,,113,,,,451,
Interest income—intercompany,,,29,,,,25,,,,10,,,,(64,),,,—,
Interest expense—intercompany,,,7,,,,(10,),,,(61,),,,64,,,,—,
"Interest expense, net",,,(3,),,,(65,),,,(21,),,,—,,,,(89,)
,,,108,,,,40,,,,101,,,,113,,,,362,
"Income (loss) from continuing operations before taxes, minority interest and equity income of affiliates",,,108,,,,583,,,,126,,,,114,,,,931,
Income tax (expense) benefit,,,(38,),,,(65,),,,(134,),,,25,,,,(212,)
Minority interest in income of subsidiaries,,,—,,,,(176,),,,29,,,,(26,),,,(173,)
Equity loss AMC,,,—,,,,—,,,,(120,),,,—,,,,(120,)
Equity income of affiliates,,,406,,,,83,,,,572,,,,(976,),,,85,
Income from continuing operations,,,476,,,,425,,,,473,,,,(863,),,,511,
Loss from discontinued operations,,,—,,,,—,,,,—,,,,—,,,,—,
Cumulative effect,,,—,,,,(32,),,,(3,),,,—,,,,(35,)
Net income (loss),,$,476,,,$,393,,,$,470,,,$,(863,),,$,476,
