column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20
,,TotalOperations,,,Exploration,,,MerchantBanking,,Corporateand Other,,,Consolidated,,,,,,
"Sales, net:",,,,,,,,,,,,,,,,,,,
Gold,,$,"3,618",,,$,—,,,$,—,,$,7,,,$,"3,625",
Copper,,$,786,,,$,—,,,$,—,,$,—,,,$,786,
Cost applicable to sales:,,,,,,,,,,,,,,,,,,,
Gold,,$,"1,910",,,$,—,,,$,—,,$,—,,,$,"1,910",
Copper,,$,305,,,$,—,,,$,—,,$,—,,,$,305,
"Depreciation, depletion and amortization:",,,,,,,,,,,,,,,,,,,
Gold,,$,526,,,$,—,,,$,—,,$,—,,,$,526,
Copper,,$,90,,,$,—,,,$,—,,$,—,,,$,90,
Other,,$,8,,,$,—,,,$,24,,$,14,,,$,46,
Exploration,,$,34,,,$,73,,,$,—,,$,—,,,$,107,
"Advanced projects, research and development",,$,51,,,$,—,,,$,7,,$,22,,,$,80,
Write-down of goodwill,,$,52,,,$,—,,,$,—,,$,—,,,$,52,
Write-down of long-lived assets,,$,36,,,$,—,,,$,1,,$,2,,,$,39,
Other income,,$,32,,,$,—,,,$,41,,$,29,,,$,102,
"Interest expense, net",,$,45,,,$,—,,,$,—,,$,53,,,$,98,
Pre-tax income (loss) before minority interest and equity income of affiliates,,$,"1,353",,,$,(74,),,$,6,,$,(174,),,$,"1,111",
Equity income of affiliates,,$,—,,,$,—,,,$,2,,$,—,,,$,2,
"Cumulative effect of a change in accounting principle, net of tax",,$,(84,),,$,—,,,$,—,,$,37,,,$,(47,)
"Amortization of deferred (advanced) stripping, net",,$,4,,,$,—,,,$,—,,$,—,,,$,4,
Capital expenditures,,$,645,,,$,—,,,$,5,,$,33,,,$,683,
Deferred stripping,,$,19,,,$,—,,,$,—,,$,—,,,$,19,
Goodwill,,$,232,,,$,"1,129",,,$,"1,633",,$,—,,,$,"2,994",
Total assets from continuing operations,,$,"6,715",,,$,"1,147",,,$,"2,514",,$,"2,116",,,$,"12,492",
Assets held for sale,,,,,,,,,,,,,,,,,$,284,
Total assets,,,,,,,,,,,,,,,,,$,"12,776",
