column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21
,,"For the Year Ended December 31, 2005",,,,,,,,,,,,,,,,,,
Condensed Consolidating Statement of Income,,Newmont Mining Corporation,,,Newmont USA,,,Other Subsidiaries,,,Eliminations,,,Newmont Mining Corporation Consolidated,,,,,,
Revenues,,,,,,,,,,,,,,,,,,,,
"Sales—gold, net",,$,—,,,$,"3,059",,,$,675,,,$,—,,,$,"3,734",
"Sales—copper, net",,,—,,,,672,,,,—,,,,—,,,,672,
,,,—,,,,"3,731",,,,675,,,,—,,,,"4,406",
Costs and expenses,,,,,,,,,,,,,,,,,,,,
"Costs applicable to sales (exclusive of depreciation, depletion and amortization shown separately below)",,,,,,,,,,,,,,,,,,,,
Gold,,,—,,,,"1,539",,,,485,,,,(7,),,,"2,017",
Copper,,,—,,,,303,,,,—,,,,—,,,,303,
"Depreciation, depletion and amortization",,,—,,,,507,,,,137,,,,—,,,,644,
Exploration,,,—,,,,99,,,,48,,,,—,,,,147,
"Advanced projects, research and development",,,—,,,,29,,,,44,,,,—,,,,73,
General and administrative,,,—,,,,123,,,,7,,,,4,,,,134,
Write-down of goodwill,,,—,,,,41,,,,—,,,,—,,,,41,
Write-down of long-lived assets,,,—,,,,2,,,,41,,,,—,,,,43,
Other,,,—,,,,100,,,,11,,,,—,,,,111,
,,,—,,,,"2,743",,,,773,,,,(3,),,,"3,513",
Other income (expense),,,,,,,,,,,,,,,,,,,,
Other income,,,10,,,,95,,,,164,,,,—,,,,269,
Interest income—intercompany,,,118,,,,45,,,,1,,,,(164,),,,—,
Interest expense—intercompany,,,(7,),,,—,,,,(157,),,,164,,,,—,
"Interest expense, net",,,(30,),,,(58,),,,(10,),,,—,,,,(98,)
,,,91,,,,82,,,,(2,),,,—,,,,171,
"Income (loss) from continuing operations before taxes, minority interest and equity income of affiliates",,,91,,,,"1,070",,,,(100,),,,3,,,,"1,064",
Income tax (expense) benefit,,,(12,),,,(401,),,,99,,,,—,,,,(314,)
Minority interest in income of subsidiaries,,,—,,,,(384,),,,(4,),,,8,,,,(380,)
Equity income of affiliates,,,243,,,,(2,),,,66,,,,(303,),,,4,
Income from continuing operations,,,322,,,,283,,,,61,,,,(292,),,,374,
Loss from discontinued operations,,,—,,,,(18,),,,(34,),,,—,,,,(52,)
Net income (loss),,$,322,,,$,265,,,$,27,,,$,(292,),,$,322,
