column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20
,,TotalOperations,,,Exploration,,,MerchantBanking,,Corporateand Other,,,Consolidated,,,,,,
"Sales, net:",,,,,,,,,,,,,,,,,,,
Gold,,$,"3,035",,,$,—,,,$,—,,$,24,,,$,"3,059",
Copper,,$,—,,,$,—,,,$,—,,$,—,,,$,—,
Cost applicable to sales:,,,,,,,,,,,,,,,,,,,
Gold,,$,"1,634",,,$,—,,,$,—,,$,—,,,$,"1,634",
Copper,,$,—,,,$,—,,,$,—,,$,—,,,$,—,
"Depreciation, depletion and amortization:",,,,,,,,,,,,,,,,,,,
Gold,,$,488,,,$,—,,,$,—,,$,—,,,$,488,
Copper,,$,—,,,$,—,,,$,—,,$,—,,,$,—,
Other,,$,8,,,$,—,,,$,26,,$,8,,,$,42,
Exploration,,$,44,,,$,32,,,$,—,,$,—,,,$,76,
"Advanced projects, research and development",,$,16,,,$,—,,,$,7,,$,12,,,$,35,
Write-down of long-lived assets,,$,30,,,$,—,,,$,2,,$,3,,,$,35,
Other income,,$,18,,,$,—,,,$,296,,$,137,,,$,451,
"Interest expense, net",,$,4,,,$,—,,,$,1,,$,84,,,$,89,
Pre-tax income (loss) before minority interest and equity income of affiliates,,$,733,,,$,(36,),,$,301,,$,(67,),,$,931,
Equity income (loss) of affiliates,,$,1,,,$,—,,,$,—,,$,(36,),,$,(35,)
"Cumulative effect of a change in accounting principle, net of tax",,$,(59,),,$,—,,,$,—,,$,24,,,$,(35,)
"Amortization of deferred (advanced) stripping, net",,$,(37,),,$,—,,,$,—,,$,—,,,$,(37,)
Capital expenditures,,$,458,,,$,1,,,$,2,,$,23,,,$,484,
Deferred stripping,,$,90,,,$,—,,,$,—,,$,—,,,$,90,
Goodwill,,$,288,,,$,"1,129",,,$,"1,593",,$,—,,,$,"3,010",
Total assets from continuing operations,,$,"4,628",,,$,"1,183",,,$,"2,091",,$,"2,495",,,$,"10,397",
Assets held for sale,,,,,,,,,,,,,,,,,$,301,
Total assets,,,,,,,,,,,,,,,,,$,"10,698",
