column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15
,,Other Operations,,,Total Gold,,,,,,,,,
"Year Ended December 31,",,2005,,2004,,2003,,,2005,,2004,,2003,
Ounces produced (000):,,,,,,,,,,,,,,
Oxide,,161.8,,264.8,,,402.3,,,"1,752.6",,"2,091.5",,"2,409.4"
Refractory,,N/A,,63.8,,,218.7,,,"2,812.5",,"2,902.5",,"2,474.1"
Leach,,301.6,,299.0,,,391.5,,,"3,991.8",,"3,648.8",,"3,633.1"
,,463.4,,627.6,,,"1,012.5",,,"8,556.9",,"8,642.8",,"8,516.6"
Ounces sold (000),,459.4,,648.2,,,"1,011.2",,,"8,552.0",,"8,828.9",,"8,377.4"
Production costs per ounce:,,,,,,,,,,,,,,
Direct mining and production costs,,$225,,$215,,$,184,,,$239,,$214,,$191
Deferred stripping and other costs,,(6),,(4),,,(2,),,(12),,(6),,(5)
Royalties and production taxes,,5,,5,,,4,,,7,,6,,7
Reclamation/accretion expense,,5,,4,,,3,,,2,,2,,2
Total costs applicable to sales,,229,,220,,,189,,,236,,216,,195
"Depreciation, depletion and amortization",,63,,73,,,67,,,60,,60,,58
Total production costs,,$292,,$293,,$,256,,,$296,,$276,,$253
