column_1,column_2,column_3
Exhibit Number,,Description
1,,"—Underwriting Agreement, dated as of March 17, 2005, among Registrant, Newmont USA Limited, Citigroup Capital Markets Inc. and J.P. Morgan Securities Inc. Incorporated by reference
to Exhibit 1.1 to Registrant’s Form 8-K filed with the Securities and Exchange Commission on March 22, 2005."
2(a),,"—Arrangement Agreement, dated as of November 14, 2001, by and between Franco-Nevada Mining Corporation Limited and Newmont Mining Corporation (now known as “Newmont USA
Limited”). Incorporated by reference to Exhibit 2.1 to the Registrant’s Form 8-K filed with the Securities and Exchange Commission on March 1, 2002."
2(b),,"—Deeds of Undertaking, dated as of November 14, 2001, November 14, 2001, and December 10, 2001, by and between Newmont Mining Corporation (now known as “Newmont USA Limited”)
and Normandy Mining Limited. Incorporated by reference to Exhibit 2.2 to Registrant’s Form 8-K filed with the Securities and Exchange Commission on March 1, 2002."
2(c),,"—Agreement and Plan of Merger, dated as of January 8, 2002, by and among Newmont Mining Corporation (now known as “Newmont USA Limited”), the Registrant and Delta Acquisitionco
Corp. Incorporated by reference to Exhibit 2.3 to the Registrant’s Form 8-K filed with the Securities and Exchange Commission on March 1, 2002."
3(a),,"—Certificate of Incorporation of Registrant. Incorporated herein by reference to Appendix F to the Registrant’s Registration Statement on Form S-4 (File No. 333-76506), filed with
the Securities and Exchange Commission on January 10, 2002."
3(b),,"—Certificate of Designations of Special Voting Stock. Incorporated herein by reference to Exhibit 3.3 to the Registrant’s Registration Statement on Form 8-A relating to the
registration of its common stock, filed with the Securities and Exchange Commission on February 15, 2002."
3(c),,"—Certificate of Amendment to the Certificate of Incorporation of Registrant. Incorporated herein by reference to Exhibit 3.4 to the Registrant’s Registration Statement on Form 8-A
relating to the registration of its common stock, filed with the Securities and Exchange Commission on February 15, 2002."
3(d),,"—Certificate of Designations of $3.25 Convertible Preferred Stock of Registrant. Incorporated herein by reference to Exhibit 3.6 to the Registrant’s Registration Statement on Form
8-A relating to the registration of its $3.25 convertible preferred stock, filed with the Securities and Exchange Commission on February 15, 2002."
3(e),,"—By-laws of the Registrant. Incorporated by reference to Exhibit 3(g) to Newmont Mining Corporation’s Annual Report on Form 10-K for the year ended December 31,
2001."
4(a),,"—Indenture, dated as of March 22, 2005, among Newmont Mining Corporation, Newmont USA Limited and Citibank, N.A. Incorporated by reference to Exhibit 4.1 to Registrant’s Form 8-K
filed with the Securities and Exchange Commission on March 22, 2005."
4(b),,"—Form of 5.875% Note due 2035 issued pursuant to Indenture, dated as of March 22, 2005, among Registrant, Newmont USA Limited and Citibank, N.A. Incorporated by reference to Exhibit 4.2
to Registrant’s Form 8-K filed with the Securities and Exchange Commission on March 22, 2005."
