column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13
,,"At December 31, 2004",,,,,,,,,,
,,Cost/EquityBasis,,Unrealized,,Fair/EquityValue,,,,,,
,,,Gain,,Loss,,,,,,,
Current:,,,,,,,,,,,,
Marketable Debt Securities:,,,,,,,,,,,,
Auction rate securities,,$,784,,$,—,,$,—,,$,784
Marketable Equity Securities:,,,,,,,,,,,,
Kinross Gold Corporation,,,80,,,21,,,—,,,101
Other,,,25,,,20,,,—,,,45
,,,105,,,41,,,—,,,146
"Other investments, at cost",,,13,,,—,,,—,,,13
,,$,902,,$,41,,$,—,,$,943
Long-term:,,,,,,,,,,,,
Marketable Equity Securities:,,,,,,,,,,,,
Canadian Oil Sands Trust,,$,225,,$,112,,$,—,,$,337
"Gabriel Resources, Ltd.",,,17,,,2,,,—,,,19
Other,,,4,,,1,,,—,,,5
,,,246,,,115,,,—,,,361
Investment in Affiliates:,,,,,,,,,,,,
European Gold Refineries (Note 20),,,13,,,—,,,—,,,13
AGR Matthey Joint Venture (Note 20),,,12,,,—,,,—,,,12
,,,25,,,—,,,—,,,25
,,$,271,,$,115,,$,—,,$,386
