column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24
,,"December 31, 2004",,,,,,,,,,,,,,,,,,,,,
,,,,Proven Reserves,,Probable Reserves,,Proven and Probable Reserves,,,,,,,,,,,,,,,
Deposits/Districts,,Newmont Share,,Tonnage(2) (000 tons),,Grade (oz/ton),,Ounces(3) (000),,Tonnage(2) (000 tons),,Grade(oz/ton),,Ounces(3) (000),,Tonnage(2) (000 tons),,Grade (oz/ton),,Ounces(3) (000),,MetallurgicalRecovery(3),
Nevada,,,,,,,,,,,,,,,,,,,,,,,
Carlin Open Pit,,100%,,"16,100",,0.070,,"1,130",,"185,500",,0.045,,"8,290",,"201,600",,0.047,,"9,420",,74,%
Twin Creeks,,100%,,"14,900",,0.083,,"1,240",,"46,900",,0.073,,"3,420",,"61,800",,0.075,,"4,660",,81,%
Lone Tree Complex,,100%,,"2,700",,0.099,,270,,"11,300",,0.054,,610,,"14,000",,0.063,,880,,81,%
Phoenix,,100%,,—,,—,,—,,"248,000",,0.034,,"8,470",,"248,000",,0.034,,"8,470",,80,%
Carlin Underground,,100%,,"1,900",,0.65,,"1,230",,"6,800",,0.47,,"3,180",,"8,700",,0.51,,"4,410",,94,%
Midas,,100%,,700,,0.68,,460,,"2,200",,0.45,,990,,"2,900",,0.51,,"1,450",,96,%
Turquoise Ridge(10),,25%,,"1,100",,0.61,,690,,600,,0.62,,360,,"1,700",,0.61,,"1,050",,91,%
Nevada Stockpiles,,100%,,"26,700",,0.091,,"2,360",,"4,300",,0.058,,250,,"30,300",,0.086,,"2,610",,81,%
Nevada In-Process,,100%,,"45,700",,0.021,,940,,"1,300",,0.062,,80,,"47,000",,0.022,,"1,020",,65,%
,,,,"109,800",,0.076,,"8,320",,"506,900",,0.051,,"25,650",,"616,000",,0.055,,"33,970",,81,%
"Yanacocha, Peru",,,,,,,,,,,,,,,,,,,,,,,
Yanacocha Open Pits,,51.35%,,"40,400",,0.026,,"1,060",,"307,800",,0.033,,"10,210",,"348,200",,0.032,,"11,270",,67,%
Yanacocha In-Process,,51.35%,,"29,000",,0.028,,820,,—,,—,,—,,"29,000",,0.028,,820,,77,%
Conga,,51.35%,,—,,—,,—,,"190,500",,0.023,,"4,470",,"190,500",,0.023,,"4,470",,75,%
,,,,"69,400",,0.027,,"1,880",,"498,300",,0.029,,"14,680",,"567,700",,0.029,,"16,560",,70,%
Australia/New Zealand,,,,,,,,,,,,,,,,,,,,,,,
"Boddington, Western Australia(28)",,44.44%,,"61,000",,0.027,,"1,670",,"129,900",,0.025,,"3,180",,"190,900",,0.025,,"4,850",,82,%
"Golden Grove, Western Australia(29)",,100%,,"2,400",,0.025,,60,,"2,100",,0.069,,140,,"4,500",,0.045,,200,,62,%
Kalgoorlie Open Pits and Underground,,50%,,"35,600",,0.061,,"2,190",,"39,800",,0.064,,"2,560",,"75,400",,0.063,,"4,750",,87,%
Kalgoorlie Stockpiles,,50%,,"12,400",,0.035,,430,,—,,—,,—,,"12,400",,0.035,,430,,87,%
"Total Kalgoorlie, Western Australia",,50%,,"48,000",,0.055,,"2,620",,"39,800",,0.064,,"2,560",,"87,800",,0.059,,"5,180",,87,%
"Pajingo, Queensland",,100%,,200,,0.47,,110,,"1,700",,0.32,,540,,"1,900",,0.34,,650,,96,%
Tanami Underground and Open Pits,,100%,,"4,800",,0.19,,890,,"7,300",,0.14,,"1,060",,"12,100",,0.16,,"1,950",,96,%
Tanami Stockpiles,,100%,,"1,100",,0.079,,90,,"3,000",,0.037,,110,,"4,100",,0.048,,200,,95,%
"Total Tanami, Northern Territory",,100%,,"5,900",,0.17,,980,,"10,300",,0.11,,"1,170",,"16,200",,0.13,,"2,150",,95,%
"Jundee, Western Australia",,100%,,"3,100",,0.047,,140,,"5,300",,0.24,,"1,270",,"8,400",,0.17,,"1,410",,93,%
"Martha, New Zealand",,100%,,—,,—,,—,,"4,400",,0.15,,670,,"4,400",,0.15,,670,,90,%
,,,,"120,600",,0.046,,"5,580",,"193,500",,0.049,,"9,530",,"314,100",,0.048,,"15,110",,87,%
"Batu Hijau, Indonesia",,,,,,,,,,,,,,,,,,,,,,,
Batu Hijau Open Pit(21),,52.875%,,"148,600",,0.013,,"1,910",,"440,100",,0.011,,"5,000",,"588,700",,0.012,,"6,910",,81,%
