column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10
,,"Years Ended December 31,",,,,,,,
,,2005,,2004,,2003,,,
"Nevada, USA",,$,124,,$,127,,$,138
"Yanacocha, Peru",,,205,,,198,,,160
Australia/New Zealand:,,,,,,,,,
"Tanami, Australia",,,33,,,38,,,36
"Kalgoorlie, Australia",,,17,,,16,,,10
"Jundee, Australia",,,27,,,27,,,36
"Pajingo, Australia",,,25,,,31,,,29
"Martha, New Zealand",,,16,,,14,,,11
Gold,,,118,,,126,,,122
Other,,,3,,,4,,,5
,,,121,,,130,,,127
"Batu Hijau, Indonesia",,,,,,,,,
Gold,,,34,,,28,,,—
Copper,,,87,,,90,,,—
,,,121,,,118,,,—
Other Operations:,,,,,,,,,
"Golden Giant, Canada",,,11,,,11,,,22
"Zarafshan, Uzbekistan",,,9,,,10,,,10
"Kori Kollo, Bolivia",,,4,,,2,,,7
"La Herradura, Mexico",,,5,,,5,,,3
"Ovacik, Turkey",,,—,,,16,,,14
"Minahasa, Indonesia",,,—,,,3,,,8
"Mesquite, USA",,,—,,,—,,,4
Gold,,,29,,,47,,,68
Other,,,3,,,4,,,3
,,,32,,,51,,,71
Other:,,,,,,,,,
Merchant Banking,,,21,,,24,,,26
Corporate and Other,,,20,,,14,,,8
,,,41,,,38,,,34
,,$,644,,$,662,,$,530
