column_1,column_2,column_3
Exhibit Number,,Description
4(c),,"—Pass Through Trust Agreement dated as of July 15, 1994, between Newmont Gold Company (now known as “Newmont USA Limited”) and The First National Bank of Chicago relating to
the Pass Through Certificates, Series 1994-A1. (The front cover of this Exhibit indicates the material differences between such Exhibit and the substantially similar (except for price-related information) Pass-Through Agreement between Newmont Gold
Company (now known as “Newmont USA Limited”) and The First National Bank of Chicago relating to the Pass-Through Certificates, Series 1994-A2.) Incorporated by reference to Exhibit 4.1 to Newmont Gold Company’s Quarterly Report on
Form 10-Q for the quarter ended September 30, 1994."
4(d),,"—Lease dated as of September 30, 1994, between Newmont Gold Company (now known as “Newmont USA Limited”) and Shawmut Bank Connecticut, National Association relating to Trust
No. 1 and a 75% undivided interest in Newmont Gold Company’s refractory gold ore treatment facility. (The front cover of this Exhibit indicates the material differences between such Exhibit and the substantially similar (except for
price-related information) entered into on the same date relating to the remaining 25% undivided interest in the facility.) Incorporated by reference to Exhibit 4.2 to Newmont Gold Company’s Quarterly Report on Form 10-Q for the quarter ended
September 30, 1994."
4(e),,"—Trust Indenture and Security Agreement dated as of July 15, 1994, between Shawmut Bank Connecticut, National Association and The First National Bank of Chicago relating to Trust
No. 1 and a 75% undivided interest in Newmont Gold Company’s (now known as “Newmont USA Limited”) refractory gold ore treatment facility. (The front cover of this Exhibit indicates the material differences between such Exhibit
and the substantially similar (except for price-related information) entered into on the same date relating to the remaining 25% undivided interest in the facility.) Incorporated by reference to Exhibit 4.3 to Newmont Gold Company’s Quarterly
Report on Form 10-Q for the quarter ended September 30, 1994."
4(f),,—See footnote (1).
10(a),,"—Savings Equalization Plan, amended and restated, of Newmont USA Limited, a wholly owned subsidiary of the Registrant, effective January 1, 2005 and dated July 12, 2005. Incorporated by
reference to Exhibit 10.1 of Registrant’s Form 8-K filed with the Securities and Exchange Commission on July 18, 2005."
10(b),,"—Pension Equalization Plan, amended and restated, of Newmont USA Limited, a wholly owned subsidiary of the Registrant, effective January 1, 2005 and dated July 12, 2005. Incorporated by
referenced to Exhibit 10.2 of Registrant’s Form 8-K filed with the Securities and Exchange Commission on July 18, 2005."
10(c),,"—1992 Key Employees Stock Plan as amended as of October 25, 1993. Incorporated by reference to Exhibit 10(p) to Newmont Mining Corporation’s Annual Report on Form 10-K for the year
ended December 31, 1993."
10(d),,"—1996 Employees Stock Plan amended and restated effective as of March 17, 1999. Incorporated by reference to Exhibit 10(d) to Newmont Mining Corporation’s Annual Report on Form 10-K
for the year ended December 31, 1998."
10(e),,"—1999 Employees Stock Plan. Incorporated by reference to Exhibit 10(e) to Newmont Mining Corporation’s Annual Report on Form 10-K for the year ended December 31,
1998."
10(f),,"—2005 Stock Incentive Plan, amended and restated effective October 26, 2005. Incorporated by reference to Exhibit 10.1 of Registrant’s Form 8-K filed with the Securities and
Exchange Commission on October 31, 2005."
