column_1,column_2,column_3,column_4,column_5
,,"At December 31, 2003",,
,,(in thousands of U.S.$),,
Deferred tax assets:,,,,
Net operating loss carry-forwards,,$,"249,562",
Deferred stripping costs,,,"24,467",
Reclamation,,,"13,598",
Provision for retirement benefit,,,"1,162",
Inventories,,,"19,080",
Other,,,"1,526",
Gross deferred tax assets:,,,"309,395",
Valuation allowance for deferred tax assets,,,"(3,164",)
Net deferred tax assets,,,"306,231",
Deferred tax liabilities:,,,,
Depreciation,,,"(311,370",)
Deferred tax liabilities,,,"(311,370",)
Net deferred tax (liabilities) assets,,$,"(5,139",)
