column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22
,,IN PROVEN GOLD RESERVES,,IN PROBABLE GOLD RESERVES,,TOTAL,,,,,,,,,,,,,,,
"For the year ended Dec. 31, 2009",,Tons,,Grade(8),,Contained lbs(9),,Tons,,Grade(8),,Contained lbs(9),,Tons,,Grade(8),,Contained lbs(9),,Process,
Based on attributable pounds,,(000s),,(%),,(millions),,(000s),,(%),,(millions),,(000s),,(%),,(millions),,recovery %,
NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,
Pueblo Viejo (60%),,"8,498",,0.114,,19.4,,"158,140",,0.090,,283.8,,"166,638",,0.091,,303.2,,79.5,%
SOUTH AMERICA,,,,,,,,,,,,,,,,,,,,,
"Cerro Casale (50%) (7),
(13)",,"127,619",,0.189,,481.3,,"540,862",,0.223,,"2,409.6",,"668,481",,0.216,,"2,890.9",,82.7,%
Pascua-Lama,,"42,132",,0.096,,81.2,,"381,726",,0.075,,574.5,,"423,858",,0.077,,655.7,,63.0,%
AFRICA,,,,,,,,,,,,,,,,,,,,,
Buzwagi,,"3,634",,0.014,,1.0,,"68,977",,0.122,,168.1,,"72,611",,0.116,,169.1,,76.9,%
Bulyanhulu,,"1,414",,0.396,,11.2,,"26,216",,0.712,,373.4,,"27,630",,0.696,,384.6,,93.3,%
TOTAL,,"183,297",,0.162,,594.1,,"1,175,921",,0.162,,"3,809.4",,"1,359,218",,0.162,,"4,403.5",,80.2,%
