column_1,column_2
RISK FACTORS,83
MANAGEMENT’S DISCUSSION
AND ANALYSIS OF
FINANCIAL CONDITION AND
RESULTS OF OPERATIONS,94
CONSOLIDATED FINANCIAL
STATEMENTS,94
CAPITAL STRUCTURE,94
RATINGS,97
MARKET FOR SECURITIES,99
MATERIAL CONTRACTS,99
TRANSFER AGENTS AND
REGISTRARS,100
DIVIDEND POLICY,101
DIRECTORS AND OFFICERS OF
THE COMPANY,101
AUDIT COMMITTEE,109
Audit
Committee Mandate,109
Purpose,109
Committee
Responsibilities,110
Responsibilities of the Committee Chair,112
Powers,113
Composition,113
Meetings,113
Composition
of the Audit Committee,114
Participation
on Other Audit Committees,114
Audit
Committee Pre-Approval Policies and Procedures,114
External
Auditor Service Fees,114
INTERNAL CONTROL OVER
FINANCIAL REPORTING AND DISCLOSURE CONTROLS AND PROCEDURES,115
NON-GAAP FINANCIAL
MEASURES,116
Total
Cash Costs and Net Cash Costs per Ounce,116
Realized
Price,119
Adjusted
Net Income,120
INTERESTS OF EXPERTS,122
ADDITIONAL INFORMATION,122
