column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22
,,MEASURED (M),,INDICATED (I),,(M) + (I),,INFERRED,,,,,,,,,,,,,
"As at December 31, 2009",,Tons,,Grade(8),,Contained ozs(9),,Tons,,Grade(8),,Contained ozs(9),,Contained ozs(9),,Tons,,Grade(8),,Contained ozs(9),
Based on attributable ounces,,(000’s),,(oz/ton),,(000’s),,(000’s),,(oz/ton),,(000’s),,(000’s),,(000’s),,(oz/ton),,(000’s),
NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,
Goldstrike Open Pit,,"10,446",,0.055,,577,,"6,241",,0.047,,293,,870,,"3,568",,0.116,,413,
Goldstrike Underground,,952,,0.401,,382,,"3,484",,0.316,,"1,101",,"1,483",,"1,858",,0.341,,633,
Goldstrike Property
Total,,"11,398",,0.084,,959,,"9,725",,0.143,,"1,394",,"2,353",,"5,426",,0.193,,"1,046",
Pueblo Viejo (60%),,"2,113",,0.058,,123,,"68,721",,0.061,,"4,164",,"4,287",,"11,654",,0.056,,656,
Cortez,,"3,652",,0.047,,170,,"42,970",,0.077,,"3,297",,"3,467",,"30,128",,0.144,,"4,325",
Bald Mountain,,"29,552",,0.013,,373,,"69,786",,0.012,,805,,"1,178",,"40,184",,0.012,,468,
Turquoise Ridge (75%),,906,,0.412,,373,,824,,0.451,,372,,745,,"3,775",,0.456,,"1,721",
Round Mountain (50%),,"10,560",,0.029,,303,,"33,352",,0.019,,636,,939,,"28,604",,0.017,,497,
Ruby Hill,,428,,0.051,,22,,"8,532",,0.058,,492,,514,,"2,928",,0.051,,148,
Hemlo (12),,"1,986",,0.064,,128,,559,,0.091,,51,,179,,"1,036",,0.150,,155,
Marigold (33%),,—,,—,,—,,"14,064",,0.016,,218,,218,,"25,049",,0.015,,388,
Golden Sunlight,,113,,0.071,,8,,169,,0.065,,11,,19,,801,,0.045,,36,
South Arturo (60%),,—,,—,,—,,"3,377",,0.048,,162,,162,,"2,539",,0.018,,45,
Donlin Creek (50%),,"3,983",,0.075,,300,,"266,039",,0.068,,"18,149",,"18,449",,"40,295",,0.065,,"2,625",
SOUTH AMERICA,,,,,,,,,,,,,,,,,,,,,
Cerro Casale (50%) (13),,"8,098",,0.010,,79,,"111,757",,0.012,,"1,286",,"1,365",,"244,644",,0.011,,"2,660",
Pascua-Lama,,"13,316",,0.041,,543,,"140,055",,0.031,,"4,278",,"4,821",,"24,298",,0.041,,"1,007",
Veladero,,"4,269",,0.011,,46,,"60,984",,0.014,,838,,884,,"64,086",,0.008,,529,
Lagunas Norte,,"1,089",,0.017,,18,,"38,330",,0.017,,660,,678,,"9,302",,0.016,,151,
Pierina,,"3,337",,0.018,,59,,"3,029",,0.016,,49,,108,,"4,066",,0.012,,49,
AUSTRALIA PACIFIC,,,,,,,,,,,,,,,,,,,,,
Porgera (95%),,"10,642",,0.077,,818,,"13,318",,0.059,,784,,"1,602",,"12,465",,0.111,,"1,383",
Kalgoorlie (50%),,"2,341",,0.059,,139,,"4,138",,0.054,,223,,362,,"1,604",,0.136,,218,
Cowal,,—,,—,,—,,"25,705",,0.034,,881,,881,,"3,017",,0.028,,85,
Plutonic,,612,,0.374,,229,,"9,645",,0.183,,"1,766",,"1,995",,"6,216",,0.243,,"1,511",
Kanowna,,"2,985",,0.131,,392,,"2,664",,0.152,,406,,798,,"3,174",,0.152,,484,
Darlot,,386,,0.148,,57,,"2,470",,0.122,,302,,359,,93,,0.226,,21,
Granny Smith,,148,,0.189,,28,,"1,357",,0.146,,198,,226,,"4,509",,0.241,,"1,088",
Lawlers,,—,,—,,—,,"1,883",,0.204,,384,,384,,442,,0.235,,104,
Osborne,,523,,0.019,,10,,"3,856",,0.027,,105,,115,,"3,137",,0.024,,75,
Reko Diq (37.5%),,"718,521",,0.009,,"6,466",,"514,465",,0.006,,"3,040",,"9,506",,"1,192,569",,0.005,,"6,399",
AFRICA,,,,,,,,,,,,,,,,,,,,,
Bulyanhulu,,—,,—,,—,,"11,350",,0.316,,"3,585",,"3,585",,"7,362",,0.429,,"3,159",
North Mara,,"1,600",,0.137,,219,,"7,210",,0.089,,642,,861,,"1,447",,0.082,,119,
Buzwagi,,94,,0.043,,4,,"20,479",,0.034,,688,,692,,"7,377",,0.036,,268,
Tulawaka (70%),,—,,—,,—,,192,,0.167,,32,,32,,1,,—,,—,
OTHER,,—,,—,,—,,65,,0.369,,24,,24,,592,,0.294,,174,
TOTAL,,"832,652",,0.014,,"11,866",,"1,491,070",,0.033,,"49,922",,"61,788",,"1,782,820",,0.018,,"31,594",
