column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22
,,IN MEASURED (M) GOLD RESOURCES,,IN INDICATED (I) GOLD RESOURCES,,(M) + (I),,INFERRED,,,,,,,,,,,,,
"For the year ended Dec. 31, 2009",,Tons,,Grade(8),,Contained lbs(9),,Tons,,Grade(8),,Contained lbs(9),,Contained lbs(9),,Tons,,Grade(8),,Contained lbs(9),
Based on attributable pounds,,(000’s),,(%),,(millions),,(000’s),,(%),,(millions),,(millions),,(000’s),,(%),,(millions),
NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,
Pueblo Viejo (60%),,"2,113",,0.097,,4.1,,"68,721",,0.073,,100.8,,104.9,,"11,654",,0.037,,8.6,
SOUTH AMERICA,,,,,,,,,,,,,,,,,,,,,
Cerro Casale (50%) (13),,"8,098",,0.157,,25.5,,"111,757",,0.185,,414.4,,439.9,,"244,644",,0.191,,936.3,
Pascua-Lama,,"13,316",,0.077,,20.6,,"140,055",,0.062,,173.4,,194.0,,"24,298",,0.044,,21.4,
AFRICA,,,,,,,,,,,,,,,,,,,,,
Buzwagi,,94,,0.104,,0.2,,"20,479",,0.097,,39.6,,39.8,,"7,377",,0.087,,12.8,
TOTAL,,"23,621",,0.107,,50.4,,"341,012",,0.107,,728.2,,778.6,,"287,973",,0.170,,979.1,
