column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22
,,IN PROVEN GOLD RESERVES,,IN PROBABLE GOLD RESERVES,,TOTAL,,,,,,,,,,,,,,,
"For the year ended Dec. 31, 2009",,Tons,,Grade(8),,Contained ozs(9),,Tons,,Grade(8),,Contained ozs(9),,Tons,,Grade(8),,Contained ozs(9),,Process,
Based on attributable ounces,,(000s),,(oz/ton),,(000s),,(000s),,(oz/ton),,(000s),,(000s),,(oz/ton),,(000s),,recovery %,
NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,
Pueblo Viejo (60%),,"8,498",,0.63,,"5,358",,"158,140",,0.50,,"79,707",,"166,638",,0.51,,"85,065",,86.7,%
SOUTH AMERICA,,,,,,,,,,,,,,,,,,,,,
"Cerro Casale (50%) (7),
(13)",,"127,619",,0.05,,"6,988",,"540,862",,0.04,,"22,376",,"668,481",,0.04,,"29,364",,46.1,%
Pascua-Lama,,"42,132",,1.75,,"73,548",,"381,726",,1.57,,"597,573",,"423,858",,1.58,,"671,121",,80.4,%
Lagunas Norte,,"18,673",,0.12,,"2,160",,"215,750",,0.11,,"22,753",,"234,423",,0.11,,"24,913",,21.4,%
Veladero,,"29,734",,0.40,,"11,802",,"474,053",,0.45,,"212,802",,"503,787",,0.45,,"224,604",,6.3,%
Pierina,,"21,370",,0.37,,"7,837",,"22,225",,0.34,,"7,571",,"43,595",,0.35,,"15,408",,37.0,%
AFRICA,,,,,,,,,,,,,,,,,,,,,
Bulyanhulu,,"1,414",,0.20,,276,,"26,216",,0.29,,"7,673",,"27,630",,0.29,,"7,949",,77.5,%
TOTAL,,"249,440",,0.43,,"107,969",,"1,818,972",,0.52,,"950,455",,"2,068,412",,0.51,,"1,058,424",,62.2,%
