column_1,column_2
GLOSSARY OF TERMS,3
FORWARD-LOOKING
INFORMATION,9
SCIENTIFIC AND TECHNICAL
INFORMATION,10
GENERAL INFORMATION,10
Incorporation,10
Subsidiaries,11
Areas of
Interest,11
General
Development of the Business,11
Transactions,16
NARRATIVE DESCRIPTION OF
THE BUSINESS,20
Capital Projects Group,20
Regional
Business Units,20
North
America,21
Australia
Pacific,21
Africa,21
South
America,22
Production,23
Mineral
Reserves and Mineral Resources,23
Marketing
and Distribution,34
Employees
and Labor Relations,35
Competition,35
MATERIAL PROPERTIES,35
Goldstrike
Property,36
Cortez Property,42
Lagunas
Norte Mine,47
Veladero
Mine,53
Zaldívar
Mine,57
Porgera Mine,62
"EXPLORATION, DEVELOPMENT
AND BUSINESS DEVELOPMENT",70
ENVIRONMENT AND CLOSURE,73
FINANCIAL RISK-MANAGEMENT,75
LEGAL MATTERS,79
Government
Controls and Regulations,79
Legal
Proceedings,80
