column_1,column_2
Rebuilding fiscal space: The case for fiscal rules,"Jan. 2026, Chapter 3"
"Fiscal challenges in small states: Weathering storms, rebuilding resilience","June 2024, Chapter 4"
Fiscal policy in commodity exporters: An enduring challenge,"Jan. 2024, Chapter 4"
How does procyclical fiscal policy affect output growth?,"Jan. 2024, Box 4.1"
Do fiscal rules and sovereign wealth funds make a difference? Lessons from country case studies,"Jan. 2024, Box 4.2"
Fiscal policy challenges in low-income countries,"June 2023, Chapter 4"
Resolving high debt after the pandemic: Lessons from past episodes of debt relief,"Jan. 2022, Special Focus"
How has the pandemic made the fourth wave of debt more dangerous?,"Jan. 2021, Box 1.1"
The fourth wave: Rapid debt buildup,"Jan. 2020, Chapter 4"
Debt: No free lunch,"June 2019, Box 1.1"
"Debt in low-income countries: Evolution, implications, and remedies","Jan. 2019, Chapter 4"
Debt dynamics in emerging market and developing economies: Time to act?,"June 2017, Special Focus 1"
Having fiscal space and using it: Fiscal challenges in developing economies,"Jan. 2015, Chapter 3"
Revenue mobilization in South Asia: Policy challenges and recommendations,"Jan. 2015, Box 2.3"
Fiscal policy in low-income countries,"Jan. 2015, Box 3.1"
What affects the size of fiscal multipliers?,"Jan. 2015, Box 3.2"
Chile’s fiscal rule—an example of success,"Jan. 2015, Box 3.3"
Narrow fiscal space and the risk of a debt crisis,"Jan. 2015, Box 3.4"
