column_1,column_2
Economics of pandemics,
Impact of COVID-19 on global income inequality,"Jan. 2022, chapter 4"
Regional macroeconomic implications of COVID-19,"June 2020, Special Focus"
Lasting Scars of the COVID-19 Pandemic,"June 2020, Chapter 3"
Adding fuel to the fire: Cheap oil during the pandemic,"June 2020, Chapter 4"
How deep will the COVID-19 recession be?,"June 2020, Box 1.1"
Scenarios of possible global growth outcomes,"June 2020, Box 1.3"
How does informality aggravate the impact of COVID-19?,"June 2020, Box 1.4"
The impact of COVID-19 on global value chains,"June 2020, SF1"
How do deep recessions affect potential output?,"June 2020, Box 3.1"
How do disasters affect productivity?,"June 2020, Box 3.2"
Reforms after the 2014-16 oil price plunge,"June 2020, Box 4.1"
The macroeconomic effects of pandemics and epidemics: A literature review,"June 2020, Annex 3.1"
Informality,
How does informality aggravate the impact of COVID-19?,"June 2020, Box 1.4"
Growing in the shadow: Challenges of informality,"Jan. 2019, Chapter 3"
Linkages between formal and informal sectors,"Jan. 2019, Box 3.1"
Regional dimensions of informality: An overview,"Jan. 2019, Box 3.2"
Casting a shadow: Productivity in formal and informal firms,"Jan. 2019, Box 3.3"
Under the magnifying glass: How do policies affect informality?,"Jan. 2019, Box 3.4"
Inflation,
Global stagflation,"June 2022, SF 1"
Emerging inflation pressures: Cause for alarm?,"June 2021, Chapter 4"
Low for how much longer? Inflation in low-income countries,"Jan. 2020, SF 2"
"Currency depreciation, inflation, and central bank independence","June 2019, SF 1.2"
The great disinflation,"Jan. 2019, Box 1.1"
Growth prospects,
"Frontier market economies: Promise, performance, and prospects","Jan. 2026, Chapter 4"
From tailwinds to headwinds: Emerging and developing economies in the twenty-first century,"Jan. 2025, Chapter 3"
Falling graduation prospects: Low-income countries in the twenty-first century,"Jan. 2025, Chapter 4"
"Small states: Overlapping crises, multiple challenges","Jan. 2023, chapter 4"
Global stagflation,"June 2022, SF 1"
Global growth scenarios,"Jan. 2021, Box 1.4"
The macroeconomic effects of pandemics and epidemics: A literature review,"June 2020, Annex 3.1"
How deep will the COVID-19 recession be?,"June 2020, Box 1.1"
Lasting scars of the COVID-19 pandemic,"June 2020, Chapter 3"
Regional macroeconomic implications of COVID-19,"June 2020, SF"
"Growth in low-income countries: Evolution, prospects, and policies","June 2019, SF 2.1"
Long-term growth prospects: Downgraded no more?,"June 2018, Box 1.1"
Global output gap,
Is the global economy turning the corner?,"Jan. 2018, Box 1.1"
Potential growth,
Global economy: Heading into a decade of disappointments?,"Jan. 2021, Chapter 3"
How do deep recessions affect potential output in EMDEs?,"June 2020, Box 3.1"
Building solid foundations: How to promote potential growth,"Jan. 2018, Chapter 3"
What is potential growth?,"Jan. 2018, Box 3.1"
Understanding the recent productivity slowdown: Facts and explanations,"Jan. 2018, Box 3.2"
Moving together? Investment and potential output,"Jan. 2018, Box 3.3"
The long shadow of contractions over potential output,"Jan. 2018, Box 3.4"
Productivity and investment growth during reforms,"Jan. 2018, Box 3.5"
Cross-border spillovers,
Who catches a cold when emerging markets sneeze?,"Jan. 2016, Chapter 3"
Sources of the growth slowdown in BRICS,"Jan. 2016, Box 3.1"
Understanding cross-border growth spillovers,"Jan. 2016, Box 3.2"
Within-region spillovers,"Jan. 2016, Box 3.3"
Productivity,
How do disasters affect productivity?,"June 2020, Box 3.2"
Fading promise: How to rekindle productivity growth,"Jan. 2020, Chapter 3"
EMDE regional productivity trends and bottlenecks,"Jan. 2020, Box 3.1"
Sectoral sources of productivity growth,"Jan. 2020, Box 3.2"
Patterns of total factor productivity: A firm perspective,"Jan. 2020, Box 3.3"
"Debt, financial crises, and productivity","Jan. 2020, Box 3.4"
Investment,
Foreign direct investment in retreat: Policies to turn the tide,"June 2025, Chapter 3"
Harnessing the benefits of public investment,"June 2024, Chapter 3"
Public investment dynamics around adverse events,"June 2024, Box 3.1"
Macroeconomic impacts of public investment: A literature review,"June 2024, Box 3.2"
The magic of investment accelerations,"Jan. 2024, Chapter 3"
Sparking investment accelerations: Lessons from country case studies,"Jan. 2024, Box 3.1"
Investment growth after the pandemic,"Jan. 2023, Chapter 3"
"Investment: Subdued prospects, strong needs","June 2019, SF 1.1"
"Weak investment in uncertain times: Causes, implications and policy responses","Jan. 2017, Chapter 3"
Investment-less credit booms,"Jan. 2017, Box 3.1"
Implications of rising uncertainty for investment in EMDEs,"Jan. 2017, Box 3.2"
Investment slowdown in China,"Jan. 2017, Box 3.3"
Interactions between public and private investment,"Jan. 2017, Box 3.4"
Forecast uncertainty,
Scenarios of possible global growth outcomes,"June 2020, Box 1.3"
Quantifying uncertainties in global growth forecasts,"June 2016, SF 2"
Fiscal space,
"Fiscal challenges in small states: Weathering storms, rebuilding resilience","June 2024, Chapter 4"
Having space and using it: Fiscal policy challenges and developing economies,"Jan. 2015, Chapter 3"
Fiscal policy in low-income countries,"Jan. 2015, Box 3.1"
What affects the size of fiscal multipliers?,"Jan. 2015, Box 3.2"
Chile’s fiscal rule—an example of success,"Jan. 2015, Box 3.3"
Narrow fiscal space and the risk of a debt crisis,"Jan. 2015, Box 3.4"
Revenue mobilization in South Asia: Policy challenges and recommendations,"Jan. 2015, Box 2.3"
Other topics,
"Fragile and conflict-affected situations: Intertwined crises, multiple vulnerabilities","June 2025, Chapter 4"
Education demographics and global inequality,"Jan. 2018, SF 2"
Recent developments in emerging and developing country labor markets,"June 2015, Box 1.3"
Linkages between China and Sub-Saharan Africa,"June 2015, Box 2.1"
What does weak growth mean for poverty in the future?,"Jan. 2015, Box 1.1"
What does a slowdown in China mean for Latin America and the Caribbean?,"Jan. 2015, Box 2.2"
