column_1,column_2
Financial spillovers of rising U.S. interest rates,"June 2023, Chapter 3"
"Asset purchases in emerging markets: Unconventional policies, unconventional times","January 2021, Chapter 4"
The fourth wave: Rapid debt buildup,"Jan. 2020, Chapter 4"
"Price controls: Good intentions, bad outcomes","Jan. 2020, SF 1"
Low for how much longer? Inflation in low-income countries,"Jan. 2020, SF 2"
"Currency depreciation, inflation, and central bank independence","June 2019, SF 1.2"
The great disinflation,"Jan. 2019, Box 1.1"
Corporate debt: Financial stability and investment implications,"June 2018, SF 2"
Recent credit surge in historical context,"June 2016, SF 1"
Peg and control? The links between exchange rate regimes and capital account policies,"Jan. 2016, Chapter 4"
Negative interest rates in Europe: A glance at their causes and implications,"June 2015, Box 1.1"
"Hoping for the best, preparing for the worst: Risks around U.S. rate liftoff and policy options","June 2015, SF 1"
Countercyclical monetary policy in emerging markets: Review and evidence,"Jan. 2015, Box 1.2"
