date,china_mainland_epu_index,provenance_note
2022-02-01,167.081875584505,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2022-03-01,359.005178984309,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2022-04-01,337.153789726457,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2022-05-01,386.750242902272,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2022-06-01,328.094950109791,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2022-07-01,359.977442421623,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2022-08-01,260.880966957428,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2022-09-01,242.556936393941,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2022-10-01,259.049214802676,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2022-11-01,448.588845798041,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2022-12-01,310.496979941266,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2023-01-01,275.41359579382,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2023-02-01,364.287677422576,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2023-03-01,516.976889834461,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2023-04-01,392.605046550195,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2023-05-01,233.991581001473,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2023-06-01,290.407627065338,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2023-07-01,233.748247068568,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2023-08-01,227.150058523315,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2023-09-01,249.484819266559,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2023-10-01,160.979522290178,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2023-11-01,229.345970653544,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2023-12-01,312.794116000289,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2024-01-01,356.97471648219,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2024-02-01,170.818001770421,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2024-03-01,242.846612100357,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2024-04-01,166.740435130865,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2024-05-01,206.280442270518,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2024-06-01,124.295466936886,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2024-07-01,278.561630309805,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2024-08-01,207.982325897929,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2024-09-01,223.656415028356,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2024-10-01,228.078182581377,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2024-11-01,233.826349569436,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2024-12-01,364.407874729867,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2025-01-01,256.9,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
2025-02-01,241.6,Davis-Liu-Sheng中国大陆报纸EPU；论文未注明EPU版本，故仅作候选代理
