column_1,column_2,column_3,column_4,column_5,column_6,column_7
行　业,营业收入,营业成本,利润总额,,,
金额,比上年增长,金额,比上年增长,金额,比上年增长,
(亿元),(%),(亿元),(%),(亿元),(%),
总计,1377661.8,2.1,1173148.2,2.5,74310.5,-3.3
煤炭开采和洗选业,31603.3,-11.1,21120.4,-7.8,6046.4,-22.2
石油和天然气开采业,12052.2,2.4,6662.7,6.1,3382.7,14.2
黑色金属矿采选业,4963.5,2.6,3942.5,4.3,541.6,-2.9
有色金属矿采选业,3769.9,8.9,2317.7,5.3,917.9,17.3
非金属矿采选业,3785.7,0.9,2719.6,2.7,404.2,-4.1
开采专业及辅助性活动,2904.5,-1.4,2773.4,13.0,-22.1,-187.7
其他采矿业,17.3,-4.4,13.0,-3.0,1.1,（注1）
农副食品加工业,52908.3,-3.0,48735.2,-3.4,1363.6,-0.2
食品制造业,21863.6,4.9,17051.7,4.5,1780.9,6.3
酒、饮料和精制茶制造业,15880.6,2.8,9996.9,1.9,3287.2,7.1
烟草制品业,13730.5,2.8,4013.2,1.7,1610.0,5.3
纺织业,23988.0,3.6,21204.2,3.3,868.7,3.4
纺织服装、服饰业,12699.2,2.8,10694.7,2.9,623.8,1.5
皮革、毛皮、羽毛及其制品和制鞋业,8533.2,3.7,7326.0,2.9,460.9,1.6
木材加工和木、竹、藤、棕、草制品业,9074.7,-1.1,8119.9,-0.9,364.9,-12.3
家具制造业,6771.5,0.4,5584.8,0.6,372.4,-0.1
造纸和纸制品业,14566.2,3.9,12814.5,4.0,519.7,5.2
印刷和记录媒介复制业,6714.8,2.4,5569.6,2.2,343.6,-10.4
文教、工美、体育和娱乐用品制造业,13502.7,3.7,11658.1,3.6,652.2,4.8
石油、煤炭及其他燃料加工业,57902.8,-3.7,50556.4,-2.0,-463.0,-199.4
化学原料和化学制品制造业,91986.4,4.2,79805.8,4.8,4250.1,-8.6
医药制造业,25298.5,0.0,14729.6,2.0,3420.7,-1.1
化学纤维制造业,11666.5,5.7,10721.1,5.1,358.1,33.6
橡胶和塑料制品业,30338.6,4.8,25537.0,5.3,1704.3,-0.1
非金属矿物制品业,51075.9,-11.1,43527.0,-9.6,1815.2,-45.1
黑色金属冶炼和压延加工业,81327.0,-6.2,77589.3,-6.1,291.9,-54.6
有色金属冶炼和压延加工业,86019.1,16.1,79967.2,15.4,3320.9,15.2
金属制品业,46809.6,2.4,40980.2,2.5,1857.8,-2.1
通用设备制造业,49236.3,2.5,39895.6,3.0,3447.3,0.7
专用设备制造业,38457.1,2.3,29844.7,2.5,2900.2,1.1
汽车制造业,106470.1,4.1,93301.4,5.1,4622.6,-8.0
铁路、船舶、航空航天和其他运输设备制造业,15437.2,10.9,12854.9,10.7,1092.4,21.5
电气机械和器材制造业,110352.7,-0.2,93987.6,-0.2,6200.6,-2.0
计算机、通信和其他电子设备制造业,161935.7,7.3,141132.0,7.5,6408.0,3.4
仪器仪表制造业,10803.8,4.3,7971.5,4.4,1105.8,3.5
其他制造业,2182.8,8.4,1781.5,7.5,130.8,21.4
废弃资源综合利用业,12043.0,4.4,11381.4,3.8,228.2,11.5
金属制品、机械和设备修理业,2466.2,18.3,2075.7,19.1,201.2,21.5
电力、热力生产和供应业,101016.5,2.7,90497.9,1.9,6524.2,17.8
燃气生产和供应业,20647.8,4.4,19080.2,4.9,890.8,-1.2
水的生产和供应业,4858.6,-0.4,3612.3,-1.0,482.7,5.5
注：
1.其他采矿业上年同期为亏损，无法计算同比增速。
2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,,,,,,
