"path","bytes","sha256"
"25问证据索引.md","3907","766e8166a50e76c2a473d595fe50ed5bbb07fa6bf81c87026ad8e19abad185bc"
"25问最终结果台账.csv","3686","416d9ea695448abe486d87294098be219f013f4dc5291205808de54899a4e8c7"
"基准/02_25问基准框架_V50.xlsx","9920","f8165e3a8dc6251d1116b71334baa33ba49f99c4bf01ed5cddd610da122bd138"
"基准/06_25问判分记录表_V50.xlsx","6714","ad93295cd26d03243796af05bd755090804065624df117c75aff10994a33bed3"
"基准/AICHAT_25_RUN_20260901_r1.xlsx","9654","c653c69568de2edd66e8f60b39eb40248914a4554ca75231ef84bbfaa84eb0f5"
"迁移限制证据/AI06_data_insight_fail.png","114955","ef596b94a3f48968bc156cf84e99aeba41073f0edf0171d5f24ceccfcc650d68"
"迁移限制证据/AI07_data_insight_fail.png","76532","fcf2c0b101519479d98e97edec1734a398a9850e81e7beefcb204e7f507aa870"
"迁移限制证据/AI08_data_insight_fail.png","81495","040b69b6ed0a9f4e018370d15aa70ac7cfc19ae943a18510f50897d3a3b8720d"
"迁移限制证据/AI10_data_insight_fail.png","123172","770374592be0150b5bdabb70a944f0c9b34bc6ba39bd0816d03de598a46a35a3"
"迁移限制证据/AI18_data_insight_fail.png","96739","0555f8ca9119236877bedfd8c3b4143349acbf63e33182664e06244b984f1292"
"迁移限制证据/AI22_data_insight_fail.png","111584","8aae0816a3780a6b255d7cf20db019da9a5f13195c65be667713a13ee69a4d14"
"迁移限制证据/AI23_data_insight_fail.png","122505","6bf1310d70cc2f2210cd91e2f8df6cb32d64d0286706adae09802e873b15a1d8"
"迁移限制证据/AI25_data_insight_fail.png","97416","c93e7b03d527dc97c7b85c5942323e0ca19d365bab0842ae489365a0b4133d22"
"迁移限制证据/results_8_migration.json","9632","2405e8f4ddc5ccc880e76828296458a2adc53b2689e708c605a2145b442006a7"
"迁移限制证据/results_AI10_AI18_rerun.json","2682","a815c252980d9289a4230c439b2a236e84edcf3f8fa6ad400cf12c6064266637"
"数据洞察迁移验证说明.md","1800","bb42e1e1342ab329831a24af32c679daa422409c720728a9f469938677133197"
"最终证据/AI01_no_deliverable.png","57597","7a8ba253a994bf6e0d5eb8476321bf142f263421ecf06266f6c18a4dfcdc352c"
"最终证据/AI02_data_insight_pass.png","382773","bef49778119b6bd4ad3ecb00c9d919cd0e406725e5428e828a26b674872c5804"
"最终证据/AI03_data_insight_pass.png","395318","e8618213f673fc70297f6e794f32c1ddd4fecb008b1e6f9b8bada93035ec5798"
"最终证据/AI04_final_fail.png","82477","ec4ddae9f43db0bdf185af12874cf36a43877e938df3b79de5f625f0eb285408"
"最终证据/AI05_data_insight_pass.png","471331","c5d440b6d382ac7f35e592fd8c1295960f3c5bbb21ccfc8121d86f793e50f371"
"最终证据/AI06_self_agent_pass.png","588901","64e722e9c35ce895aa7232dda1da6c04fffac311837d10e73ad055757e14ab32"
"最终证据/AI07_self_agent_pass.png","539504","4becc4ee9cf74d175b627d4e1f043543ead84c6dabbc7fa6aacd4474e08e9d4c"
"最终证据/AI08_self_agent_pass.png","526215","9d20f7f5e8aa4795d34b77e4b5a2b3c10b0ccf05f1aaaac86fdd5b1643b47892"
"最终证据/AI09_data_insight_pass.png","555810","9ce8562b99f0fc50c318668e876f4d8324c182e5413b7049bd122b9417e33f49"
"最终证据/AI10_self_agent_pass_page1.png","568528","57cf4b50543a46b26299a77f287610360a598667ab99e9b0ae87fc625edb8948"
"最终证据/AI10_self_agent_pass_page2.png","515681","69393892dd31d3421246e785fdc7e9602c326835819980c02bfcd58d4cec567b"
"最终证据/AI11_data_insight_pass_page1.png","687496","7074f2be2bd48e586b50504ef86854676a19efc6efd506afba8320fd027e6e5a"
"最终证据/AI11_data_insight_pass_page2.png","457351","a132933b8f7ad321eb870d9fa928e2d11a987bcc940f1d03b9e0b118f65452ae"
"最终证据/AI12_data_insight_pass_page1.png","595334","4089cda6ed093cb594c67be366acdcab8a8d82d677729178dd96e7c3e8833816"
"最终证据/AI12_data_insight_pass_page2.png","433181","c42a8c332a62c542774bc0310420f1d8e374c844a883af8274bedbe0c189351c"
"最终证据/AI13_data_insight_pass_page1.png","685902","a2ae0c0fd03a6bba5f0be2fe8e214b0d3e6e0c661fca1d23d156ee65d94e73a4"
"最终证据/AI13_data_insight_pass_page2.png","397134","72b42655a5e7f55c38382cd74ba3d95a514e3925706f5c2fc40b74b8f515b77f"
"最终证据/AI13_data_insight_pass_page3.png","322073","8d766136b17ec41d0f974aefb13a19f31f107a615624f56ab2c43c9a611e12c3"
"最终证据/AI14_data_insight_pass_page1.png","594069","9cc0f747d09476ed41c8aa275c3a492dcf4abc0a1eb4d36fca57814b22e5bb95"
"最终证据/AI14_data_insight_pass_page2.png","522197","e640ff1816550ba57cd52de0045968e4b4737b36da28a1bf6e75aebf78ae2cfa"
"最终证据/AI15_data_insight_pass_page1.png","577297","8f42881db835d090c0f5237a5a9cbf81444872fce730bb1d30bc051524866e00"
"最终证据/AI15_data_insight_pass_page2.png","486282","cff1d4c3c7e14bf2b9d601cea155a936dcca151c47aa93ed152290074857b02f"
"最终证据/AI15_data_insight_pass_page3.png","423630","f7ac598824eb657fc6e6c8f3b5c1e50b3b685330107c2673f67c2574826f4589"
"最终证据/AI15_data_insight_pass_page4.png","517591","81c6ff8b57c583dab558ca21cc358364e02b816380bb65782f47c862ae26df74"
"最终证据/AI15_data_insight_pass_page5.png","434194","d972ef1f991c71866052b4e387883c7dfe91e4b37c98e840897fc9e0051e042c"
"最终证据/AI16_final_fail.png","99743","261f332fd91fb840c3be385ebeb532e86248bbd283f479abfdebd0d2e0953a72"
"最终证据/AI17_pass_after_auto_clarification.png","73551","9f882b6239646e5da0af108c917c87593d7868af57ce1fe580ce13f6c786014d"
"最终证据/AI18_self_agent_pass.png","595723","b44d0c0c504040a55d48ead10761df19401142c955df85e4198e747b9a8a93f4"
"最终证据/AI19_no_deliverable.png","91419","c0c30f64161628be97fb818d88b4b92f0ad65e7ccc53b9c43cfaa62c9a961ea5"
"最终证据/AI20_no_deliverable.png","100398","c4f10665c13ec06d24ab3b994f3449b5b92879b72f9129a3ca911457a2e85cc0"
"最终证据/AI21_data_insight_pass_page1.png","422731","49c3105ec4bf8ed26dc68f112569888e0334c065eb8a8f619945e84cbee35b07"
"最终证据/AI21_data_insight_pass_page2.png","566863","20f4a1ef4419d4b6da64b0811089e5f5f797db022e6a28ac5e4db263561806eb"
"最终证据/AI21_data_insight_pass_page3.png","408207","24957aefc421f24fefc02d8f64049a26e4b5bb0f246dc139dcc8051f254cf73f"
"最终证据/AI22_self_agent_pass.png","536893","e028a60fbd6b97f22d8c64a508c3e5dbea27ab8c8d0afe453852043f2b3bab35"
"最终证据/AI23_self_agent_pass.png","656914","ae583de4e9d38bdccb8220bdf56e29ba1c295355cf2b54f25ff7926677d5bf60"
"最终证据/AI24_data_insight_pass_page1.png","713420","ce886935c2419de53570746af1f377a73306def42af5f6fe82b127a20705c7f9"
"最终证据/AI24_data_insight_pass_page2.png","515235","9a38a7244ddbeeb7713d2bcf18687cab3ea23fe4a0edcc8d043d0fc4cc05504a"
"最终证据/AI24_data_insight_pass_page3.png","524082","ea5552603c02db6213f48e91c692b06322582cdaf8a6d34ee9311f51756c35ce"
"最终证据/AI25_self_agent_pass.png","386134","6b5fe9322d95c4371d39f7ad9eff9135ec8f576c3e43f7fa7ca37266decfdecc"
"README_25问提交说明.md","3170","01d38a4fbe3fb32bf1ef34cf02a3394f23e827f4158ef97dce7206e36d1efa49"
